county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Republican,Aaron Michael Toscano,90
Orleans,Albany,NA,Attorney General,NA,Republican,Aaron Michael Toscano,75
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Aaron Michael Toscano,62
Windsor,Andover,NA,Attorney General,NA,Republican,Aaron Michael Toscano,27
Bennington,Arlington,NA,Attorney General,NA,Republican,Aaron Michael Toscano,73
Windham,Athens,NA,Attorney General,NA,Republican,Aaron Michael Toscano,8
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Aaron Michael Toscano,32
Windsor,Baltimore,NA,Attorney General,NA,Republican,Aaron Michael Toscano,14
Windsor,Barnard,NA,Attorney General,NA,Republican,Aaron Michael Toscano,35
Caledonia,Barnet,NA,Attorney General,NA,Republican,Aaron Michael Toscano,101
Washington,Barre City,Washington 3-1,Attorney General,NA,Republican,Aaron Michael Toscano,181
Washington,Barre City,Washington 3-2,Attorney General,NA,Republican,Aaron Michael Toscano,131
Washington,Barre City,Washington 3-3,Attorney General,NA,Republican,Aaron Michael Toscano,13
Washington,Barre Town,NA,Attorney General,NA,Republican,Aaron Michael Toscano,589
Orleans,Barton,NA,Attorney General,NA,Republican,Aaron Michael Toscano,137
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Aaron Michael Toscano,14
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Aaron Michael Toscano,107
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Aaron Michael Toscano,137
Rutland,Benson,NA,Attorney General,NA,Republican,Aaron Michael Toscano,37
Franklin,Berkshire,NA,Attorney General,NA,Republican,Aaron Michael Toscano,38
Washington,Berlin,NA,Attorney General,NA,Republican,Aaron Michael Toscano,92
Windsor,Bethel,NA,Attorney General,NA,Republican,Aaron Michael Toscano,70
Essex,Bloomfield,NA,Attorney General,NA,Republican,Aaron Michael Toscano,14
Chittenden,Bolton,NA,Attorney General,NA,Republican,Aaron Michael Toscano,47
Orange,Bradford,NA,Attorney General,NA,Republican,Aaron Michael Toscano,121
Orange,Braintree,NA,Attorney General,NA,Republican,Aaron Michael Toscano,86
Rutland,Brandon,NA,Attorney General,NA,Republican,Aaron Michael Toscano,160
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Republican,Aaron Michael Toscano,100
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Republican,Aaron Michael Toscano,53
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Republican,Aaron Michael Toscano,41
Windsor,Bridgewater,NA,Attorney General,NA,Republican,Aaron Michael Toscano,36
Addison,Bridport,NA,Attorney General,NA,Republican,Aaron Michael Toscano,87
Essex,Brighton,NA,Attorney General,NA,Republican,Aaron Michael Toscano,71
Addison,Bristol,NA,Attorney General,NA,Republican,Aaron Michael Toscano,164
Orange,Brookfield,NA,Attorney General,NA,Republican,Aaron Michael Toscano,59
Windham,Brookline,NA,Attorney General,NA,Republican,Aaron Michael Toscano,20
Orleans,Brownington,NA,Attorney General,NA,Republican,Aaron Michael Toscano,25
Essex,Brunswick,NA,Attorney General,NA,Republican,Aaron Michael Toscano,7
Caledonia,Burke,NA,Attorney General,NA,Republican,Aaron Michael Toscano,67
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Republican,Aaron Michael Toscano,225
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Republican,Aaron Michael Toscano,113
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Republican,Aaron Michael Toscano,68
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Republican,Aaron Michael Toscano,40
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Republican,Aaron Michael Toscano,129
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Republican,Aaron Michael Toscano,14
Washington,Cabot,NA,Attorney General,NA,Republican,Aaron Michael Toscano,43
Washington,Calais,NA,Attorney General,NA,Republican,Aaron Michael Toscano,70
Lamoille,Cambridge,NA,Attorney General,NA,Republican,Aaron Michael Toscano,107
