county,town,precinct,office,district,party,candidate,votes
Franklin,Fairfax,NA,Secretary of State,NA,Republican,Jason Gibbs,81
Franklin,Fairfield,NA,Secretary of State,NA,Republican,Jason Gibbs,51
Orange,Fairlee,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Washington,Fayston,NA,Secretary of State,NA,Republican,Jason Gibbs,42
Addison,Ferrisburgh,NA,Secretary of State,NA,Republican,Jason Gibbs,84
Franklin,Fletcher,NA,Secretary of State,NA,Republican,Jason Gibbs,32
Franklin,Franklin,NA,Secretary of State,NA,Republican,Jason Gibbs,43
Franklin,Georgia,NA,Secretary of State,NA,Republican,Jason Gibbs,90
Orleans,Glover,NA,Secretary of State,NA,Republican,Jason Gibbs,48
Addison,Goshen,NA,Secretary of State,NA,Republican,Jason Gibbs,20
Windham,Grafton,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Essex,Granby,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Grand Isle,Grand Isle,NA,Secretary of State,NA,Republican,Jason Gibbs,50
Addison,Granville,NA,Secretary of State,NA,Republican,Jason Gibbs,9
Orleans,Greensboro,NA,Secretary of State,NA,Republican,Jason Gibbs,17
Caledonia,Groton,NA,Secretary of State,NA,Republican,Jason Gibbs,54
Essex,Guildhall,NA,Secretary of State,NA,Republican,Jason Gibbs,21
Windham,Guilford,NA,Secretary of State,NA,Republican,Jason Gibbs,25
Windham,Halifax,NA,Secretary of State,NA,Republican,Jason Gibbs,7
Addison,Hancock,NA,Secretary of State,NA,Republican,Jason Gibbs,12
Caledonia,Hardwick,NA,Secretary of State,NA,Republican,Jason Gibbs,41
Windsor,Hartford,Windsor 6-1,Secretary of State,NA,Republican,Jason Gibbs,34
Windsor,Hartford,Windsor 6-2,Secretary of State,NA,Republican,Jason Gibbs,82
Windsor,Hartland,NA,Secretary of State,NA,Republican,Jason Gibbs,49
Franklin,Highgate,NA,Secretary of State,NA,Republican,Jason Gibbs,78
Chittenden,Hinesburg,Chittenden 1-1,Secretary of State,NA,Republican,Jason Gibbs,56
Chittenden,Hinesburg,Chittenden 1-2,Secretary of State,NA,Republican,Jason Gibbs,3
Orleans,Holland,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Rutland,Hubbardton,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Chittenden,Huntington,NA,Secretary of State,NA,Republican,Jason Gibbs,31
Lamoille,Hyde Park,NA,Secretary of State,NA,Republican,Jason Gibbs,86
Rutland,Ira,Rutland 1-1,Secretary of State,NA,Republican,Jason Gibbs,2
Rutland,Ira,Rutland 1-2,Secretary of State,NA,Republican,Jason Gibbs,23
Orleans,Irasburg,NA,Secretary of State,NA,Republican,Jason Gibbs,39
Grand Isle,Isle La Motte,NA,Secretary of State,NA,Republican,Jason Gibbs,10
Windham,Jamaica,NA,Secretary of State,NA,Republican,Jason Gibbs,32
Orleans,Jay,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Chittenden,Jericho,NA,Secretary of State,NA,Republican,Jason Gibbs,136
Lamoille,Johnson,NA,Secretary of State,NA,Republican,Jason Gibbs,49
Rutland,Killington,NA,Secretary of State,NA,Republican,Jason Gibbs,41
Caledonia,Kirby,NA,Secretary of State,NA,Republican,Jason Gibbs,20
Bennington,Landgrove,NA,Secretary of State,NA,Republican,Jason Gibbs,6
Addison,Leicester,NA,Secretary of State,NA,Republican,Jason Gibbs,36
Essex,Lemington,NA,Secretary of State,NA,Republican,Jason Gibbs,3
Addison,Lincoln,NA,Secretary of State,NA,Republican,Jason Gibbs,38
Windham,Londonderry,NA,Secretary of State,NA,Republican,Jason Gibbs,56
Orleans,Lowell,NA,Secretary of State,NA,Republican,Jason Gibbs,20
Windsor,Ludlow,NA,Secretary of State,NA,Republican,Jason Gibbs,38
Essex,Lunenburg,NA,Secretary of State,NA,Republican,Jason Gibbs,72
Caledonia,Lyndon,NA,Secretary of State,NA,Republican,Jason Gibbs,141
Essex,Maidstone,NA,Secretary of State,NA,Republican,Jason Gibbs,16
Bennington,Manchester,NA,Secretary of State,NA,Republican,Jason Gibbs,94
Windham,Marlboro,NA,Secretary of State,NA,Republican,Jason Gibbs,10
Washington,Marshfield,NA,Secretary of State,NA,Republican,Jason Gibbs,58
Rutland,Mendon,NA,Secretary of State,NA,Republican,Jason Gibbs,54
Addison,Middlebury,NA,Secretary of State,NA,Republican,Jason Gibbs,96
Washington,Middlesex,NA,Secretary of State,NA,Republican,Jason Gibbs,74
Rutland,Middletown Springs,NA,Secretary of State,NA,Republican,Jason Gibbs,30
Chittenden,Milton,Chittenden 9,Secretary of State,NA,Republican,Jason Gibbs,196
Chittenden,Milton,Grand Isle-Chittenden 1-1,Secretary of State,NA,Republican,Jason Gibbs,34
Addison,Monkton,NA,Secretary of State,NA,Republican,Jason Gibbs,34
Franklin,Montgomery,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Washington,Montpelier,NA,Secretary of State,NA,Republican,Jason Gibbs,223
Washington,Moretown,NA,Secretary of State,NA,Republican,Jason Gibbs,90
Orleans,Morgan,NA,Secretary of State,NA,Republican,Jason Gibbs,33
Lamoille,Morristown,NA,Secretary of State,NA,Republican,Jason Gibbs,179
Rutland,Mount Holly,NA,Secretary of State,NA,Republican,Jason Gibbs,55
Rutland,Mount Tabor,NA,Secretary of State,NA,Republican,Jason Gibbs,3
Addison,New Haven,NA,Secretary of State,NA,Republican,Jason Gibbs,61
Caledonia,Newark,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Orange,Newbury,NA,Secretary of State,NA,Republican,Jason Gibbs,73
Windham,Newfane,NA,Secretary of State,NA,Republican,Jason Gibbs,27
Orleans,Newport City,NA,Secretary of State,NA,Republican,Jason Gibbs,92
Orleans,Newport Town,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Grand Isle,N. Hero,NA,Secretary of State,NA,Republican,Jason Gibbs,30
Washington,Northfield,NA,Secretary of State,NA,Republican,Jason Gibbs,177
Essex,Norton,NA,Secretary of State,NA,Republican,Jason Gibbs,7
Windsor,Norwich,NA,Secretary of State,NA,Republican,Jason Gibbs,27
Orange,Orange,NA,Secretary of State,NA,Republican,Jason Gibbs,53
Addison,Orwell,NA,Secretary of State,NA,Republican,Jason Gibbs,78
Addison,Panton,NA,Secretary of State,NA,Republican,Jason Gibbs,20
Rutland,Pawlet,NA,Secretary of State,NA,Republican,Jason Gibbs,26
Caledonia,Peacham,NA,Secretary of State,NA,Republican,Jason Gibbs,20
