county,town,precinct,office,district,party,candidate,votes
Addison,Ferrisburgh,NA,U.S. Senate,NA,Republican,Len Britton,113
Franklin,Fletcher,NA,U.S. Senate,NA,Republican,Len Britton,40
Franklin,Franklin,NA,U.S. Senate,NA,Republican,Len Britton,67
Franklin,Georgia,NA,U.S. Senate,NA,Republican,Len Britton,147
Orleans,Glover,NA,U.S. Senate,NA,Republican,Len Britton,68
Addison,Goshen,NA,U.S. Senate,NA,Republican,Len Britton,25
Windham,Grafton,NA,U.S. Senate,NA,Republican,Len Britton,35
Essex,Granby,NA,U.S. Senate,NA,Republican,Len Britton,15
Grand Isle,Grand Isle,NA,U.S. Senate,NA,Republican,Len Britton,105
Addison,Granville,NA,U.S. Senate,NA,Republican,Len Britton,9
Orleans,Greensboro,NA,U.S. Senate,NA,Republican,Len Britton,36
Caledonia,Groton,NA,U.S. Senate,NA,Republican,Len Britton,70
Essex,Guildhall,NA,U.S. Senate,NA,Republican,Len Britton,22
Windham,Guilford,NA,U.S. Senate,NA,Republican,Len Britton,39
Windham,Halifax,NA,U.S. Senate,NA,Republican,Len Britton,18
Addison,Hancock,NA,U.S. Senate,NA,Republican,Len Britton,12
Caledonia,Hardwick,NA,U.S. Senate,NA,Republican,Len Britton,75
Windsor,Hartford,Windsor 6-1,U.S. Senate,NA,Republican,Len Britton,67
Windsor,Hartford,Windsor 6-2,U.S. Senate,NA,Republican,Len Britton,163
Windsor,Hartland,NA,U.S. Senate,NA,Republican,Len Britton,120
Franklin,Highgate,NA,U.S. Senate,NA,Republican,Len Britton,99
Chittenden,Hinesburg,Chittenden 1-1,U.S. Senate,NA,Republican,Len Britton,116
Chittenden,Hinesburg,Chittenden 1-2,U.S. Senate,NA,Republican,Len Britton,6
Orleans,Holland,NA,U.S. Senate,NA,Republican,Len Britton,26
Rutland,Hubbardton,NA,U.S. Senate,NA,Republican,Len Britton,23
Chittenden,Huntington,NA,U.S. Senate,NA,Republican,Len Britton,47
Lamoille,Hyde Park,NA,U.S. Senate,NA,Republican,Len Britton,126
Rutland,Ira,Rutland 1-1,U.S. Senate,NA,Republican,Len Britton,4
Rutland,Ira,Rutland 1-2,U.S. Senate,NA,Republican,Len Britton,31
Orleans,Irasburg,NA,U.S. Senate,NA,Republican,Len Britton,49
Grand Isle,Isle La Motte,NA,U.S. Senate,NA,Republican,Len Britton,15
Windham,Jamaica,NA,U.S. Senate,NA,Republican,Len Britton,36
Orleans,Jay,NA,U.S. Senate,NA,Republican,Len Britton,13
Chittenden,Jericho,NA,U.S. Senate,NA,Republican,Len Britton,235
Lamoille,Johnson,NA,U.S. Senate,NA,Republican,Len Britton,69
Rutland,Killington,NA,U.S. Senate,NA,Republican,Len Britton,86
Caledonia,Kirby,NA,U.S. Senate,NA,Republican,Len Britton,29
Bennington,Landgrove,NA,U.S. Senate,NA,Republican,Len Britton,9
Addison,Leicester,NA,U.S. Senate,NA,Republican,Len Britton,43
Essex,Lemington,NA,U.S. Senate,NA,Republican,Len Britton,7
Addison,Lincoln,NA,U.S. Senate,NA,Republican,Len Britton,56
Windham,Londonderry,NA,U.S. Senate,NA,Republican,Len Britton,92
Orleans,Lowell,NA,U.S. Senate,NA,Republican,Len Britton,26
Windsor,Ludlow,NA,U.S. Senate,NA,Republican,Len Britton,75
Essex,Lunenburg,NA,U.S. Senate,NA,Republican,Len Britton,115
Caledonia,Lyndon,NA,U.S. Senate,NA,Republican,Len Britton,216
Essex,Maidstone,NA,U.S. Senate,NA,Republican,Len Britton,25
Bennington,Manchester,NA,U.S. Senate,NA,Republican,Len Britton,178
Windham,Marlboro,NA,U.S. Senate,NA,Republican,Len Britton,19
Washington,Marshfield,NA,U.S. Senate,NA,Republican,Len Britton,66
Rutland,Mendon,NA,U.S. Senate,NA,Republican,Len Britton,100
Addison,Middlebury,NA,U.S. Senate,NA,Republican,Len Britton,143
Washington,Middlesex,NA,U.S. Senate,NA,Republican,Len Britton,70
Rutland,Middletown Springs,NA,U.S. Senate,NA,Republican,Len Britton,38
Chittenden,Milton,Chittenden 9,U.S. Senate,NA,Republican,Len Britton,372
Chittenden,Milton,Grand Isle-Chittenden 1-1,U.S. Senate,NA,Republican,Len Britton,64
Addison,Monkton,NA,U.S. Senate,NA,Republican,Len Britton,47
Franklin,Montgomery,NA,U.S. Senate,NA,Republican,Len Britton,29
Washington,Montpelier,NA,U.S. Senate,NA,Republican,Len Britton,250
Washington,Moretown,NA,U.S. Senate,NA,Republican,Len Britton,94
Orleans,Morgan,NA,U.S. Senate,NA,Republican,Len Britton,52
Lamoille,Morristown,NA,U.S. Senate,NA,Republican,Len Britton,204
Rutland,Mount Holly,NA,U.S. Senate,NA,Republican,Len Britton,84
Rutland,Mount Tabor,NA,U.S. Senate,NA,Republican,Len Britton,10
Addison,New Haven,NA,U.S. Senate,NA,Republican,Len Britton,79
Caledonia,Newark,NA,U.S. Senate,NA,Republican,Len Britton,31
Orange,Newbury,NA,U.S. Senate,NA,Republican,Len Britton,106
Windham,Newfane,NA,U.S. Senate,NA,Republican,Len Britton,30
Orleans,Newport City,NA,U.S. Senate,NA,Republican,Len Britton,150
Orleans,Newport Town,NA,U.S. Senate,NA,Republican,Len Britton,54
Grand Isle,N. Hero,NA,U.S. Senate,NA,Republican,Len Britton,54
Washington,Northfield,NA,U.S. Senate,NA,Republican,Len Britton,188
Essex,Norton,NA,U.S. Senate,NA,Republican,Len Britton,11
Windsor,Norwich,NA,U.S. Senate,NA,Republican,Len Britton,47
Orange,Orange,NA,U.S. Senate,NA,Republican,Len Britton,74
Addison,Orwell,NA,U.S. Senate,NA,Republican,Len Britton,122
Addison,Panton,NA,U.S. Senate,NA,Republican,Len Britton,37
Rutland,Pawlet,NA,U.S. Senate,NA,Republican,Len Britton,55
Caledonia,Peacham,NA,U.S. Senate,NA,Republican,Len Britton,30
Bennington,Peru,NA,U.S. Senate,NA,Republican,Len Britton,18
Rutland,Pittsfield,NA,U.S. Senate,NA,Republican,Len Britton,36
Rutland,Pittsford,NA,U.S. Senate,NA,Republican,Len Britton,177
Washington,Plainfield,NA,U.S. Senate,NA,Republican,Len Britton,46
Windsor,Plymouth,NA,U.S. Senate,NA,Republican,Len Britton,40
Windsor,Pomfret,NA,U.S. Senate,NA,Republican,Len Britton,40
Rutland,Poultney,NA,U.S. Senate,NA,Republican,Len Britton,115
Bennington,Pownal,NA,U.S. Senate,NA,Republican,Len Britton,74
Rutland,Proctor,NA,U.S. Senate,NA,Republican,Len Britton,109
Windham,Putney,NA,U.S. Senate,NA,Republican,Len Britton,35
Orange,Randolph,NA,U.S. Senate,NA,Republican,Len Britton,260
Windsor,Reading,NA,U.S. Senate,NA,Republican,Len Britton,24
Bennington,Readsboro,NA,U.S. Senate,NA,Republican,Len Britton,27
Franklin,Richford,NA,U.S. Senate,NA,Republican,Len Britton,50
Chittenden,Richmond,NA,U.S. Senate,NA,Republican,Len Britton,145
Addison,Ripton,NA,U.S. Senate,NA,Republican,Len Britton,11
Windsor,Rochester,NA,U.S. Senate,NA,Republican,Len Britton,53
Windham,Rockingham,NA,U.S. Senate,NA,Republican,Len Britton,145
Washington,Roxbury,NA,U.S. Senate,NA,Republican,Len Britton,20
Windsor,Royalton,NA,U.S. Senate,NA,Republican,Len Britton,79
Bennington,Rupert,Bennington 5,U.S. Senate,NA,Republican,Len Britton,6
