county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Democratic,William H. Sorrell,338
Orleans,Albany,NA,Attorney General,NA,Democratic,William H. Sorrell,228
Grand Isle,Alburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,419
Windsor,Andover,NA,Attorney General,NA,Democratic,William H. Sorrell,107
Bennington,Arlington,NA,Attorney General,NA,Democratic,William H. Sorrell,507
Windham,Athens,NA,Attorney General,NA,Democratic,William H. Sorrell,44
Franklin,Bakersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,313
Windsor,Baltimore,NA,Attorney General,NA,Democratic,William H. Sorrell,38
Windsor,Barnard,NA,Attorney General,NA,Democratic,William H. Sorrell,251
Caledonia,Barnet,NA,Attorney General,NA,Democratic,William H. Sorrell,385
Washington,Barre City,Washington 3-1,Attorney General,NA,Democratic,William H. Sorrell,784
Washington,Barre City,Washington 3-2,Attorney General,NA,Democratic,William H. Sorrell,671
Washington,Barre City,Washington 3-3,Attorney General,NA,Democratic,William H. Sorrell,124
Washington,Barre Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,796"
Orleans,Barton,NA,Attorney General,NA,Democratic,William H. Sorrell,478
Lamoille,Belvidere,NA,Attorney General,NA,Democratic,William H. Sorrell,64
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,535"
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Democratic,William H. Sorrell,"1,254"
Rutland,Benson,NA,Attorney General,NA,Democratic,William H. Sorrell,176
Franklin,Berkshire,NA,Attorney General,NA,Democratic,William H. Sorrell,248
Washington,Berlin,NA,Attorney General,NA,Democratic,William H. Sorrell,668
Windsor,Bethel,NA,Attorney General,NA,Democratic,William H. Sorrell,461
Essex,Bloomfield,NA,Attorney General,NA,Democratic,William H. Sorrell,38
Chittenden,Bolton,NA,Attorney General,NA,Democratic,William H. Sorrell,325
Orange,Bradford,NA,Attorney General,NA,Democratic,William H. Sorrell,506
Orange,Braintree,NA,Attorney General,NA,Democratic,William H. Sorrell,283
Rutland,Brandon,NA,Attorney General,NA,Democratic,William H. Sorrell,815
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Democratic,William H. Sorrell,"1,119"
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Democratic,William H. Sorrell,867
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Democratic,William H. Sorrell,862
Windsor,Bridgewater,NA,Attorney General,NA,Democratic,William H. Sorrell,184
Addison,Bridport,NA,Attorney General,NA,Democratic,William H. Sorrell,305
Essex,Brighton,NA,Attorney General,NA,Democratic,William H. Sorrell,228
Addison,Bristol,NA,Attorney General,NA,Democratic,William H. Sorrell,998
Orange,Brookfield,NA,Attorney General,NA,Democratic,William H. Sorrell,338
Windham,Brookline,NA,Attorney General,NA,Democratic,William H. Sorrell,100
Orleans,Brownington,NA,Attorney General,NA,Democratic,William H. Sorrell,146
Essex,Brunswick,NA,Attorney General,NA,Democratic,William H. Sorrell,22
Caledonia,Burke,NA,Attorney General,NA,Democratic,William H. Sorrell,319
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Democratic,William H. Sorrell,"2,103"
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,138"
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Democratic,William H. Sorrell,"1,565"
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Democratic,William H. Sorrell,"1,249"
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Democratic,William H. Sorrell,"2,621"
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Democratic,William H. Sorrell,313
Washington,Cabot,NA,Attorney General,NA,Democratic,William H. Sorrell,359
Washington,Calais,NA,Attorney General,NA,Democratic,William H. Sorrell,546
Lamoille,Cambridge,NA,Attorney General,NA,Democratic,William H. Sorrell,895
Essex,Canaan,NA,Attorney General,NA,Democratic,William H. Sorrell,146
Rutland,Castleton,NA,Attorney General,NA,Democratic,William H. Sorrell,565
Windsor,Cavendish,NA,Attorney General,NA,Democratic,William H. Sorrell,253
Orleans,Charleston,NA,Attorney General,NA,Democratic,William H. Sorrell,189
Chittenden,Charlotte,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,288"
Orange,Chelsea,NA,Attorney General,NA,Democratic,William H. Sorrell,278
