county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Democratic,William H. Sorrell,356
Orleans,Albany,NA,Attorney General,NA,Democratic,William H. Sorrell,210
Grand Isle,Alburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,497
Windsor,Andover,NA,Attorney General,NA,Democratic,William H. Sorrell,1
Bennington,Arlington,NA,Attorney General,NA,Democratic,William H. Sorrell,626
Windham,Athens,NA,Attorney General,NA,Democratic,William H. Sorrell,65
Franklin,Bakersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,309
Windsor,Baltimore,NA,Attorney General,NA,Democratic,William H. Sorrell,53
Windsor,Barnard,NA,Attorney General,NA,Democratic,William H. Sorrell,297
Caledonia,Barnet,NA,Attorney General,NA,Democratic,William H. Sorrell,484
Washington,Barre City,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,380"
Washington,Barre Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,709"
Orleans,Barton,NA,Attorney General,NA,Democratic,William H. Sorrell,564
Lamoille,Belvidere,NA,Attorney General,NA,Democratic,William H. Sorrell,68
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,862"
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Democratic,William H. Sorrell,"1,571"
Rutland,Benson,NA,Attorney General,NA,Democratic,William H. Sorrell,241
Franklin,Berkshire,NA,Attorney General,NA,Democratic,William H. Sorrell,307
Washington,Berlin,NA,Attorney General,NA,Democratic,William H. Sorrell,644
Windsor,Bethel,NA,Attorney General,NA,Democratic,William H. Sorrell,545
Essex,Bloomfield,NA,Attorney General,NA,Democratic,William H. Sorrell,48
Chittenden,Bolton,NA,Attorney General,NA,Democratic,William H. Sorrell,342
Orange,Bradford,NA,Attorney General,NA,Democratic,William H. Sorrell,587
Orange,Braintree,NA,Attorney General,NA,Democratic,William H. Sorrell,296
Rutland,Brandon,NA,Attorney General,NA,Democratic,William H. Sorrell,996
Windham,Brattleboro,Windham 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,330"
Windham,Brattleboro,Windham 2-2,Attorney General,NA,Democratic,William H. Sorrell,"1,224"
Windham,Brattleboro,Windham 2-3,Attorney General,NA,Democratic,William H. Sorrell,"1,255"
Windsor,Bridgewater,NA,Attorney General,NA,Democratic,William H. Sorrell,262
Addison,Bridport,NA,Attorney General,NA,Democratic,William H. Sorrell,309
Essex,Brighton,NA,Attorney General,NA,Democratic,William H. Sorrell,237
Addison,Bristol,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,050"
Orange,Brookfield,NA,Attorney General,NA,Democratic,William H. Sorrell,362
Windham,Brookline,NA,Attorney General,NA,Democratic,William H. Sorrell,160
Orleans,Brownington,NA,Attorney General,NA,Democratic,William H. Sorrell,181
Essex,Brunswick,NA,Attorney General,NA,Democratic,William H. Sorrell,30
Caledonia,Burke,NA,Attorney General,NA,Democratic,William H. Sorrell,372
Chittenden,Burlington,Chittenden 6-1,Attorney General,NA,Democratic,William H. Sorrell,"2,734"
Chittenden,Burlington,Chittenden 6-2,Attorney General,NA,Democratic,William H. Sorrell,"1,364"
Chittenden,Burlington,Chittenden 6-3,Attorney General,NA,Democratic,William H. Sorrell,"2,038"
Chittenden,Burlington,Chittenden 6-4,Attorney General,NA,Democratic,William H. Sorrell,"1,593"
Chittenden,Burlington,Chittenden 6-5,Attorney General,NA,Democratic,William H. Sorrell,"3,050"
Chittenden,Burlington,Chittenden 6-6,Attorney General,NA,Democratic,William H. Sorrell,655
Chittenden,Burlington,Chittenden 6-7,Attorney General,NA,Democratic,William H. Sorrell,36
Washington,Cabot,NA,Attorney General,NA,Democratic,William H. Sorrell,363
Washington,Calais,NA,Attorney General,NA,Democratic,William H. Sorrell,549
Lamoille,Cambridge,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,106"
Essex,Canaan,NA,Attorney General,NA,Democratic,William H. Sorrell,192
Rutland,Castleton,NA,Attorney General,NA,Democratic,William H. Sorrell,778
Windsor,Cavendish,NA,Attorney General,NA,Democratic,William H. Sorrell,311
Orleans,Charleston,NA,Attorney General,NA,Democratic,William H. Sorrell,190
Chittenden,Charlotte,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,434"
Orange,Chelsea,NA,Attorney General,NA,Democratic,William H. Sorrell,259
Windsor,Chester,NA,Attorney General,NA,Democratic,William H. Sorrell,842
Rutland,Chittenden,NA,Attorney General,NA,Democratic,William H. Sorrell,348
Rutland,Clarendon,NA,Attorney General,NA,Democratic,William H. Sorrell,537
Chittenden,Colchester,Chittenden 9-1,Attorney General,NA,Democratic,William H. Sorrell,"1,858"
Chittenden,Colchester,Chittenden 9-2,Attorney General,NA,Democratic,William H. Sorrell,"2,351"
Essex,Concord,NA,Attorney General,NA,Democratic,William H. Sorrell,240
Orange,Corinth,NA,Attorney General,NA,Democratic,William H. Sorrell,310
Addison,Cornwall,NA,Attorney General,NA,Democratic,William H. Sorrell,438
Orleans,Coventry,NA,Attorney General,NA,Democratic,William H. Sorrell,257
