county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Secretary of State,NA,Democratic,James C. Condos,56
Orleans,Albany,NA,Secretary of State,NA,Democratic,James C. Condos,28
Grand Isle,Alburgh,NA,Secretary of State,NA,Democratic,James C. Condos,118
Windsor,Andover,NA,Secretary of State,NA,Democratic,James C. Condos,30
Bennington,Arlington,NA,Secretary of State,NA,Democratic,James C. Condos,78
Windham,Athens,NA,Secretary of State,NA,Democratic,James C. Condos,20
Franklin,Bakersfield,NA,Secretary of State,NA,Democratic,James C. Condos,71
Windsor,Baltimore,NA,Secretary of State,NA,Democratic,James C. Condos,3
Windsor,Barnard,NA,Secretary of State,NA,Democratic,James C. Condos,72
Caledonia,Barnet,NA,Secretary of State,NA,Democratic,James C. Condos,64
Washington,Barre City,NA,Secretary of State,NA,Democratic,James C. Condos,334
Washington,Barre Town,NA,Secretary of State,NA,Democratic,James C. Condos,299
Orleans,Barton,NA,Secretary of State,NA,Democratic,James C. Condos,66
Lamoille,Belvidere,NA,Secretary of State,NA,Democratic,James C. Condos,7
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Democratic,James C. Condos,395
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Democratic,James C. Condos,153
Rutland,Benson,NA,Secretary of State,NA,Democratic,James C. Condos,33
Franklin,Berkshire,NA,Secretary of State,NA,Democratic,James C. Condos,37
Washington,Berlin,NA,Secretary of State,NA,Democratic,James C. Condos,98
Windsor,Bethel,NA,Secretary of State,NA,Democratic,James C. Condos,91
Essex,Bloomfield,NA,Secretary of State,NA,Democratic,James C. Condos,6
Chittenden,Bolton,NA,Secretary of State,NA,Democratic,James C. Condos,78
Orange,Bradford,NA,Secretary of State,NA,Democratic,James C. Condos,84
Orange,Braintree,NA,Secretary of State,NA,Democratic,James C. Condos,88
Rutland,Brandon,NA,Secretary of State,NA,Democratic,James C. Condos,149
Windham,Brattleboro,Windham 2-1,Secretary of State,NA,Democratic,James C. Condos,265
Windham,Brattleboro,Windham 2-2,Secretary of State,NA,Democratic,James C. Condos,267
Windham,Brattleboro,Windham 2-3,Secretary of State,NA,Democratic,James C. Condos,489
Windsor,Bridgewater,NA,Secretary of State,NA,Democratic,James C. Condos,42
Addison,Bridport,NA,Secretary of State,NA,Democratic,James C. Condos,54
Essex,Brighton,NA,Secretary of State,NA,Democratic,James C. Condos,37
Addison,Bristol,NA,Secretary of State,NA,Democratic,James C. Condos,163
Orange,Brookfield,NA,Secretary of State,NA,Democratic,James C. Condos,121
Windham,Brookline,NA,Secretary of State,NA,Democratic,James C. Condos,46
Orleans,Brownington,NA,Secretary of State,NA,Democratic,James C. Condos,21
Essex,Brunswick,NA,Secretary of State,NA,Democratic,James C. Condos,5
Caledonia,Burke,NA,Secretary of State,NA,Democratic,James C. Condos,33
Chittenden,Burlington,Chittenden 6-1,Secretary of State,NA,Democratic,James C. Condos,939
Chittenden,Burlington,Chittenden 6-2,Secretary of State,NA,Democratic,James C. Condos,472
Chittenden,Burlington,Chittenden 6-3,Secretary of State,NA,Democratic,James C. Condos,411
Chittenden,Burlington,Chittenden 6-4,Secretary of State,NA,Democratic,James C. Condos,418
Chittenden,Burlington,Chittenden 6-5,Secretary of State,NA,Democratic,James C. Condos,1061
Chittenden,Burlington,Chittenden 6-6,Secretary of State,NA,Democratic,James C. Condos,123
Chittenden,Burlington,Chittenden 6-7,Secretary of State,NA,Democratic,James C. Condos,15
Washington,Cabot,NA,Secretary of State,NA,Democratic,James C. Condos,53
Washington,Calais,NA,Secretary of State,NA,Democratic,James C. Condos,132
Lamoille,Cambridge,NA,Secretary of State,NA,Democratic,James C. Condos,135
Essex,Canaan,NA,Secretary of State,NA,Democratic,James C. Condos,19
Rutland,Castleton,NA,Secretary of State,NA,Democratic,James C. Condos,77
Windsor,Cavendish,NA,Secretary of State,NA,Democratic,James C. Condos,56
Orleans,Charleston,NA,Secretary of State,NA,Democratic,James C. Condos,18
Chittenden,Charlotte,NA,Secretary of State,NA,Democratic,James C. Condos,323
Orange,Chelsea,NA,Secretary of State,NA,Democratic,James C. Condos,77
Windsor,Chester,NA,Secretary of State,NA,Democratic,James C. Condos,158
Rutland,Chittenden,NA,Secretary of State,NA,Democratic,James C. Condos,53
Rutland,Clarendon,NA,Secretary of State,NA,Democratic,James C. Condos,53
Chittenden,Colchester,Chittenden 9-1,Secretary of State,NA,Democratic,James C. Condos,338
Chittenden,Colchester,Chittenden 9-2,Secretary of State,NA,Democratic,James C. Condos,462
Essex,Concord,NA,Secretary of State,NA,Democratic,James C. Condos,40
Orange,Corinth,NA,Secretary of State,NA,Democratic,James C. Condos,98
Addison,Cornwall,NA,Secretary of State,NA,Democratic,James C. Condos,104
Orleans,Coventry,NA,Secretary of State,NA,Democratic,James C. Condos,28
Orleans,Craftsbury,NA,Secretary of State,NA,Democratic,James C. Condos,55
Rutland,Danby,NA,Secretary of State,NA,Democratic,James C. Condos,119
Caledonia,Danville,NA,Secretary of State,NA,Democratic,James C. Condos,92
Orleans,Derby,NA,Secretary of State,NA,Democratic,James C. Condos,109
Bennington,Dorset,NA,Secretary of State,NA,Democratic,James C. Condos,69
Windham,Dover,NA,Secretary of State,NA,Democratic,James C. Condos,58
Windham,Dummerston,NA,Secretary of State,NA,Democratic,James C. Condos,187
Washington,Duxbury,NA,Secretary of State,NA,Democratic,James C. Condos,91
Essex,E. Haven,NA,Secretary of State,NA,Democratic,James C. Condos,12
Washington,E. Montpelier,NA,Secretary of State,NA,Democratic,James C. Condos,195
Lamoille,Eden,NA,Secretary of State,NA,Democratic,James C. Condos,27
Lamoille,Elmore,NA,Secretary of State,NA,Democratic,James C. Condos,48
Franklin,Enosburgh,NA,Secretary of State,NA,Democratic,James C. Condos,65
Chittenden,Essex,Chittenden 8-1,Secretary of State,NA,Democratic,James C. Condos,413
Chittenden,Essex,Chittenden 8-2,Secretary of State,NA,Democratic,James C. Condos,533
Chittenden,Essex,Chittenden 8-3,Secretary of State,NA,Democratic,James C. Condos,136
Rutland,Fair Haven,NA,Secretary of State,NA,Democratic,James C. Condos,50
Franklin,Fairfax,NA,Secretary of State,NA,Democratic,James C. Condos,137
Franklin,Fairfield,NA,Secretary of State,NA,Democratic,James C. Condos,145
Orange,Fairlee,NA,Secretary of State,NA,Democratic,James C. Condos,40
Washington,Fayston,NA,Secretary of State,NA,Democratic,James C. Condos,51
Addison,Ferrisburgh,NA,Secretary of State,NA,Democratic,James C. Condos,143
Franklin,Fletcher,NA,Secretary of State,NA,Democratic,James C. Condos,53
Franklin,Franklin,NA,Secretary of State,NA,Democratic,James C. Condos,61
Franklin,Georgia,NA,Secretary of State,NA,Democratic,James C. Condos,132
Orleans,Glover,NA,Secretary of State,NA,Democratic,James C. Condos,79
Addison,Goshen,NA,Secretary of State,NA,Democratic,James C. Condos,15
