county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Governor,NA,Democratic,Peter Shumlin,322
Orleans,Albany,NA,Governor,NA,Democratic,Peter Shumlin,177
Grand Isle,Alburgh,NA,Governor,NA,Democratic,Peter Shumlin,431
Windsor,Andover,NA,Governor,NA,Democratic,Peter Shumlin,1
Bennington,Arlington,NA,Governor,NA,Democratic,Peter Shumlin,741
Windham,Athens,NA,Governor,NA,Democratic,Peter Shumlin,76
Franklin,Bakersfield,NA,Governor,NA,Democratic,Peter Shumlin,280
Windsor,Baltimore,NA,Governor,NA,Democratic,Peter Shumlin,52
Windsor,Barnard,NA,Governor,NA,Democratic,Peter Shumlin,332
Caledonia,Barnet,NA,Governor,NA,Democratic,Peter Shumlin,492
Washington,Barre City,NA,Governor,NA,Democratic,Peter Shumlin,"1,657"
Washington,Barre Town,NA,Governor,NA,Democratic,Peter Shumlin,"1,697"
Orleans,Barton,NA,Governor,NA,Democratic,Peter Shumlin,496
Lamoille,Belvidere,NA,Governor,NA,Democratic,Peter Shumlin,65
Bennington,Bennington,Bennington 2-1,Governor,NA,Democratic,Peter Shumlin,"2,327"
Bennington,Bennington,Bennington 2-2,Governor,NA,Democratic,Peter Shumlin,"2,012"
Rutland,Benson,NA,Governor,NA,Democratic,Peter Shumlin,224
Franklin,Berkshire,NA,Governor,NA,Democratic,Peter Shumlin,254
Washington,Berlin,NA,Governor,NA,Democratic,Peter Shumlin,675
Windsor,Bethel,NA,Governor,NA,Democratic,Peter Shumlin,565
Essex,Bloomfield,NA,Governor,NA,Democratic,Peter Shumlin,58
Chittenden,Bolton,NA,Governor,NA,Democratic,Peter Shumlin,377
Orange,Bradford,NA,Governor,NA,Democratic,Peter Shumlin,657
Orange,Braintree,NA,Governor,NA,Democratic,Peter Shumlin,304
Rutland,Brandon,NA,Governor,NA,Democratic,Peter Shumlin,949
Windham,Brattleboro,Windham 2-1,Governor,NA,Democratic,Peter Shumlin,"1,456"
Windham,Brattleboro,Windham 2-2,Governor,NA,Democratic,Peter Shumlin,"1,365"
Windham,Brattleboro,Windham 2-3,Governor,NA,Democratic,Peter Shumlin,"1,418"
Windsor,Bridgewater,NA,Governor,NA,Democratic,Peter Shumlin,279
Addison,Bridport,NA,Governor,NA,Democratic,Peter Shumlin,276
Essex,Brighton,NA,Governor,NA,Democratic,Peter Shumlin,212
Addison,Bristol,NA,Governor,NA,Democratic,Peter Shumlin,"1,052"
Orange,Brookfield,NA,Governor,NA,Democratic,Peter Shumlin,391
Windham,Brookline,NA,Governor,NA,Democratic,Peter Shumlin,172
Orleans,Brownington,NA,Governor,NA,Democratic,Peter Shumlin,157
Essex,Brunswick,NA,Governor,NA,Democratic,Peter Shumlin,36
Caledonia,Burke,NA,Governor,NA,Democratic,Peter Shumlin,368
Chittenden,Burlington,Chittenden 6-1,Governor,NA,Democratic,Peter Shumlin,"2,794"
Chittenden,Burlington,Chittenden 6-2,Governor,NA,Democratic,Peter Shumlin,"1,534"
