county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Republican,John Macgovern,26
Orleans,Albany,NA,U.S. Senate,NA,Republican,John Macgovern,17
Grand Isle,Alburgh,NA,U.S. Senate,NA,Republican,John Macgovern,75
Windsor,Andover,NA,U.S. Senate,NA,Republican,John Macgovern,18
Bennington,Arlington,NA,U.S. Senate,NA,Republican,John Macgovern,16
Windham,Athens,NA,U.S. Senate,NA,Republican,John Macgovern,8
Franklin,Bakersfield,NA,U.S. Senate,NA,Republican,John Macgovern,26
Windsor,Baltimore,NA,U.S. Senate,NA,Republican,John Macgovern,9
Windsor,Barnard,NA,U.S. Senate,NA,Republican,John Macgovern,26
Caledonia,Barnet,NA,U.S. Senate,NA,Republican,John Macgovern,34
Washington,Barre City,NA,U.S. Senate,NA,Republican,John Macgovern,50
Washington,Barre Town,NA,U.S. Senate,NA,Republican,John Macgovern,57
Orleans,Barton,NA,U.S. Senate,NA,Republican,John Macgovern,15
Lamoille,Belvidere,NA,U.S. Senate,NA,Republican,John Macgovern,5
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Republican,John Macgovern,25
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Republican,John Macgovern,19
Rutland,Benson,NA,U.S. Senate,NA,Republican,John Macgovern,18
Franklin,Berkshire,NA,U.S. Senate,NA,Republican,John Macgovern,49
Washington,Berlin,NA,U.S. Senate,NA,Republican,John Macgovern,27
Windsor,Bethel,NA,U.S. Senate,NA,Republican,John Macgovern,18
Essex,Bloomfield,NA,U.S. Senate,NA,Republican,John Macgovern,1
Chittenden,Bolton,NA,U.S. Senate,NA,Republican,John Macgovern,6
Orange,Bradford,NA,U.S. Senate,NA,Republican,John Macgovern,29
Orange,Braintree,NA,U.S. Senate,NA,Republican,John Macgovern,11
Rutland,Brandon,NA,U.S. Senate,NA,Republican,John Macgovern,59
Windham,Brattleboro,Windham 2-1,U.S. Senate,NA,Republican,John Macgovern,31
Windham,Brattleboro,Windham 2-2,U.S. Senate,NA,Republican,John Macgovern,28
Windham,Brattleboro,Windham 2-3,U.S. Senate,NA,Republican,John Macgovern,17
Windsor,Bridgewater,NA,U.S. Senate,NA,Republican,John Macgovern,10
Addison,Bridport,NA,U.S. Senate,NA,Republican,John Macgovern,25
Essex,Brighton,NA,U.S. Senate,NA,Republican,John Macgovern,18
Addison,Bristol,NA,U.S. Senate,NA,Republican,John Macgovern,41
Orange,Brookfield,NA,U.S. Senate,NA,Republican,John Macgovern,4
Windham,Brookline,NA,U.S. Senate,NA,Republican,John Macgovern,13
Orleans,Brownington,NA,U.S. Senate,NA,Republican,John Macgovern,6
Essex,Brunswick,NA,U.S. Senate,NA,Republican,John Macgovern,3
Caledonia,Burke,NA,U.S. Senate,NA,Republican,John Macgovern,16
Chittenden,Burlington,Chittenden 6-1,U.S. Senate,NA,Republican,John Macgovern,97
Chittenden,Burlington,Chittenden 6-2,U.S. Senate,NA,Republican,John Macgovern,13
Chittenden,Burlington,Chittenden 6-3,U.S. Senate,NA,Republican,John Macgovern,15
Chittenden,Burlington,Chittenden 6-4,U.S. Senate,NA,Republican,John Macgovern,9
Chittenden,Burlington,Chittenden 6-5,U.S. Senate,NA,Republican,John Macgovern,29
Chittenden,Burlington,Chittenden 6-6,U.S. Senate,NA,Republican,John Macgovern,3
Chittenden,Burlington,Chittenden 6-7,U.S. Senate,NA,Republican,John Macgovern,0
Washington,Cabot,NA,U.S. Senate,NA,Republican,John Macgovern,7
Washington,Calais,NA,U.S. Senate,NA,Republican,John Macgovern,13
Lamoille,Cambridge,NA,U.S. Senate,NA,Republican,John Macgovern,28
Essex,Canaan,NA,U.S. Senate,NA,Republican,John Macgovern,22
Rutland,Castleton,NA,U.S. Senate,NA,Republican,John Macgovern,37
Windsor,Cavendish,NA,U.S. Senate,NA,Republican,John Macgovern,37
Orleans,Charleston,NA,U.S. Senate,NA,Republican,John Macgovern,20
Chittenden,Charlotte,NA,U.S. Senate,NA,Republican,John Macgovern,25
Orange,Chelsea,NA,U.S. Senate,NA,Republican,John Macgovern,17
Windsor,Chester,NA,U.S. Senate,NA,Republican,John Macgovern,44
Rutland,Chittenden,NA,U.S. Senate,NA,Republican,John Macgovern,13
Rutland,Clarendon,NA,U.S. Senate,NA,Republican,John Macgovern,27
Chittenden,Colchester,Chittenden 9-1,U.S. Senate,NA,Republican,John Macgovern,41
Chittenden,Colchester,Chittenden 9-2,U.S. Senate,NA,Republican,John Macgovern,55
Essex,Concord,NA,U.S. Senate,NA,Republican,John Macgovern,106
Orange,Corinth,NA,U.S. Senate,NA,Republican,John Macgovern,13
Addison,Cornwall,NA,U.S. Senate,NA,Republican,John Macgovern,9
Orleans,Coventry,NA,U.S. Senate,NA,Republican,John Macgovern,13
Orleans,Craftsbury,NA,U.S. Senate,NA,Republican,John Macgovern,14
Rutland,Danby,NA,U.S. Senate,NA,Republican,John Macgovern,69
Caledonia,Danville,NA,U.S. Senate,NA,Republican,John Macgovern,15
Orleans,Derby,NA,U.S. Senate,NA,Republican,John Macgovern,30
Bennington,Dorset,NA,U.S. Senate,NA,Republican,John Macgovern,16
Windham,Dover,NA,U.S. Senate,NA,Republican,John Macgovern,42
Windham,Dummerston,NA,U.S. Senate,NA,Republican,John Macgovern,19
Washington,Duxbury,NA,U.S. Senate,NA,Republican,John Macgovern,8
Essex,E. Haven,NA,U.S. Senate,NA,Republican,John Macgovern,5
Washington,E. Montpelier,NA,U.S. Senate,NA,Republican,John Macgovern,16
Lamoille,Eden,NA,U.S. Senate,NA,Republican,John Macgovern,9
Lamoille,Elmore,NA,U.S. Senate,NA,Republican,John Macgovern,8
Franklin,Enosburgh,NA,U.S. Senate,NA,Republican,John Macgovern,46
Chittenden,Essex,Chittenden 8-1,U.S. Senate,NA,Republican,John Macgovern,53
Chittenden,Essex,Chittenden 8-2,U.S. Senate,NA,Republican,John Macgovern,52
Chittenden,Essex,Chittenden 8-3,U.S. Senate,NA,Republican,John Macgovern,15
Rutland,Fair Haven,NA,U.S. Senate,NA,Republican,John Macgovern,31
Franklin,Fairfax,NA,U.S. Senate,NA,Republican,John Macgovern,68
Franklin,Fairfield,NA,U.S. Senate,NA,Republican,John Macgovern,14
Orange,Fairlee,NA,U.S. Senate,NA,Republican,John Macgovern,16
Washington,Fayston,NA,U.S. Senate,NA,Republican,John Macgovern,4
Addison,Ferrisburgh,NA,U.S. Senate,NA,Republican,John Macgovern,25
Franklin,Fletcher,NA,U.S. Senate,NA,Republican,John Macgovern,7
Franklin,Franklin,NA,U.S. Senate,NA,Republican,John Macgovern,30
Franklin,Georgia,NA,U.S. Senate,NA,Republican,John Macgovern,91
Orleans,Glover,NA,U.S. Senate,NA,Republican,John Macgovern,11
Addison,Goshen,NA,U.S. Senate,NA,Republican,John Macgovern,8
Windham,Grafton,NA,U.S. Senate,NA,Republican,John Macgovern,23
Essex,Granby,NA,U.S. Senate,NA,Republican,John Macgovern,12
Grand Isle,Grand Isle,NA,U.S. Senate,NA,Republican,John Macgovern,26
Addison,Granville,NA,U.S. Senate,NA,Republican,John Macgovern,2
Orleans,Greensboro,NA,U.S. Senate,NA,Republican,John Macgovern,8
Caledonia,Groton,NA,U.S. Senate,NA,Republican,John Macgovern,10
Essex,Guildhall,NA,U.S. Senate,NA,Republican,John Macgovern,24
Windham,Guilford,NA,U.S. Senate,NA,Republican,John Macgovern,14
Windham,Halifax,NA,U.S. Senate,NA,Republican,John Macgovern,12
