county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Governor,NA,Republican,Randy Brock,32
Orleans,Albany,NA,Governor,NA,Republican,Randy Brock,22
Grand Isle,Alburgh,NA,Governor,NA,Republican,Randy Brock,100
Windsor,Andover,NA,Governor,NA,Republican,Randy Brock,18
Bennington,Arlington,NA,Governor,NA,Republican,Randy Brock,26
Windham,Athens,NA,Governor,NA,Republican,Randy Brock,11
Franklin,Bakersfield,NA,Governor,NA,Republican,Randy Brock,34
Windsor,Baltimore,NA,Governor,NA,Republican,Randy Brock,9
Windsor,Barnard,NA,Governor,NA,Republican,Randy Brock,26
Caledonia,Barnet,NA,Governor,NA,Republican,Randy Brock,40
Washington,Barre City,NA,Governor,NA,Republican,Randy Brock,131
Washington,Barre Town,NA,Governor,NA,Republican,Randy Brock,177
Orleans,Barton,NA,Governor,NA,Republican,Randy Brock,29
Lamoille,Belvidere,NA,Governor,NA,Republican,Randy Brock,9
Bennington,Bennington,Bennington 2-1,Governor,NA,Republican,Randy Brock,28
Bennington,Bennington,Bennington 2-2,Governor,NA,Republican,Randy Brock,38
Rutland,Benson,NA,Governor,NA,Republican,Randy Brock,23
Franklin,Berkshire,NA,Governor,NA,Republican,Randy Brock,62
Washington,Berlin,NA,Governor,NA,Republican,Randy Brock,68
Windsor,Bethel,NA,Governor,NA,Republican,Randy Brock,19
Essex,Bloomfield,NA,Governor,NA,Republican,Randy Brock,1
Chittenden,Bolton,NA,Governor,NA,Republican,Randy Brock,14
Orange,Bradford,NA,Governor,NA,Republican,Randy Brock,36
Orange,Braintree,NA,Governor,NA,Republican,Randy Brock,15
Rutland,Brandon,NA,Governor,NA,Republican,Randy Brock,81
Windham,Brattleboro,Windham 2-1,Governor,NA,Republican,Randy Brock,38
Windham,Brattleboro,Windham 2-2,Governor,NA,Republican,Randy Brock,27
Windham,Brattleboro,Windham 2-3,Governor,NA,Republican,Randy Brock,19
Windsor,Bridgewater,NA,Governor,NA,Republican,Randy Brock,11
Addison,Bridport,NA,Governor,NA,Republican,Randy Brock,31
Essex,Brighton,NA,Governor,NA,Republican,Randy Brock,26
Addison,Bristol,NA,Governor,NA,Republican,Randy Brock,48
Orange,Brookfield,NA,Governor,NA,Republican,Randy Brock,5
Windham,Brookline,NA,Governor,NA,Republican,Randy Brock,13
Orleans,Brownington,NA,Governor,NA,Republican,Randy Brock,13
Essex,Brunswick,NA,Governor,NA,Republican,Randy Brock,7
Caledonia,Burke,NA,Governor,NA,Republican,Randy Brock,27
Chittenden,Burlington,Chittenden 6-1,Governor,NA,Republican,Randy Brock,123
Chittenden,Burlington,Chittenden 6-2,Governor,NA,Republican,Randy Brock,20
Chittenden,Burlington,Chittenden 6-3,Governor,NA,Republican,Randy Brock,24
Chittenden,Burlington,Chittenden 6-4,Governor,NA,Republican,Randy Brock,14
Chittenden,Burlington,Chittenden 6-5,Governor,NA,Republican,Randy Brock,34
Chittenden,Burlington,Chittenden 6-6,Governor,NA,Republican,Randy Brock,3
Chittenden,Burlington,Chittenden 6-7,Governor,NA,Republican,Randy Brock,0
Washington,Cabot,NA,Governor,NA,Republican,Randy Brock,11
Washington,Calais,NA,Governor,NA,Republican,Randy Brock,21
Lamoille,Cambridge,NA,Governor,NA,Republican,Randy Brock,44
Essex,Canaan,NA,Governor,NA,Republican,Randy Brock,23
Rutland,Castleton,NA,Governor,NA,Republican,Randy Brock,46
Windsor,Cavendish,NA,Governor,NA,Republican,Randy Brock,45
Orleans,Charleston,NA,Governor,NA,Republican,Randy Brock,25
Chittenden,Charlotte,NA,Governor,NA,Republican,Randy Brock,31
Orange,Chelsea,NA,Governor,NA,Republican,Randy Brock,36
Windsor,Chester,NA,Governor,NA,Republican,Randy Brock,46
Rutland,Chittenden,NA,Governor,NA,Republican,Randy Brock,16
Rutland,Clarendon,NA,Governor,NA,Republican,Randy Brock,30
Chittenden,Colchester,Chittenden 9-1,Governor,NA,Republican,Randy Brock,56
Chittenden,Colchester,Chittenden 9-2,Governor,NA,Republican,Randy Brock,83
Essex,Concord,NA,Governor,NA,Republican,Randy Brock,131
Orange,Corinth,NA,Governor,NA,Republican,Randy Brock,23
Addison,Cornwall,NA,Governor,NA,Republican,Randy Brock,12
Orleans,Coventry,NA,Governor,NA,Republican,Randy Brock,20
Orleans,Craftsbury,NA,Governor,NA,Republican,Randy Brock,26
Rutland,Danby,NA,Governor,NA,Republican,Randy Brock,98
Caledonia,Danville,NA,Governor,NA,Republican,Randy Brock,31
Orleans,Derby,NA,Governor,NA,Republican,Randy Brock,59
Bennington,Dorset,NA,Governor,NA,Republican,Randy Brock,28
Windham,Dover,NA,Governor,NA,Republican,Randy Brock,57
Windham,Dummerston,NA,Governor,NA,Republican,Randy Brock,22
Washington,Duxbury,NA,Governor,NA,Republican,Randy Brock,19
Essex,E. Haven,NA,Governor,NA,Republican,Randy Brock,6
Washington,E. Montpelier,NA,Governor,NA,Republican,Randy Brock,40
Lamoille,Eden,NA,Governor,NA,Republican,Randy Brock,10
Lamoille,Elmore,NA,Governor,NA,Republican,Randy Brock,10
Franklin,Enosburgh,NA,Governor,NA,Republican,Randy Brock,68
Chittenden,Essex,Chittenden 8-1,Governor,NA,Republican,Randy Brock,69
Chittenden,Essex,Chittenden 8-2,Governor,NA,Republican,Randy Brock,70
Chittenden,Essex,Chittenden 8-3,Governor,NA,Republican,Randy Brock,22
Rutland,Fair Haven,NA,Governor,NA,Republican,Randy Brock,51
Franklin,Fairfax,NA,Governor,NA,Republican,Randy Brock,101
Franklin,Fairfield,NA,Governor,NA,Republican,Randy Brock,25
Orange,Fairlee,NA,Governor,NA,Republican,Randy Brock,17
Washington,Fayston,NA,Governor,NA,Republican,Randy Brock,11
Addison,Ferrisburgh,NA,Governor,NA,Republican,Randy Brock,31
Franklin,Fletcher,NA,Governor,NA,Republican,Randy Brock,13
Franklin,Franklin,NA,Governor,NA,Republican,Randy Brock,64
Franklin,Georgia,NA,Governor,NA,Republican,Randy Brock,130
Orleans,Glover,NA,Governor,NA,Republican,Randy Brock,24
Addison,Goshen,NA,Governor,NA,Republican,Randy Brock,11
Windham,Grafton,NA,Governor,NA,Republican,Randy Brock,25
Essex,Granby,NA,Governor,NA,Republican,Randy Brock,15
Grand Isle,Grand Isle,NA,Governor,NA,Republican,Randy Brock,35
Addison,Granville,NA,Governor,NA,Republican,Randy Brock,2
Orleans,Greensboro,NA,Governor,NA,Republican,Randy Brock,13
Caledonia,Groton,NA,Governor,NA,Republican,Randy Brock,26
Essex,Guildhall,NA,Governor,NA,Republican,Randy Brock,33
Windham,Guilford,NA,Governor,NA,Republican,Randy Brock,18
Windham,Halifax,NA,Governor,NA,Republican,Randy Brock,16
Addison,Hancock,NA,Governor,NA,Republican,Randy Brock,2
Caledonia,Hardwick,NA,Governor,NA,Republican,Randy Brock,18
Windsor,Hartford,Windsor 4-1,Governor,NA,Republican,Randy Brock,13
Windsor,Hartford,Windsor 4-2,Governor,NA,Republican,Randy Brock,55
Windsor,Hartland,NA,Governor,NA,Republican,Randy Brock,45
Franklin,Highgate,NA,Governor,NA,Republican,Randy Brock,126
Chittenden,Hinesburg,Chittenden 4-1,Governor,NA,Republican,Randy Brock,0
Chittenden,Hinesburg,Chittenden 4-2,Governor,NA,Republican,Randy Brock,27
Orleans,Holland,NA,Governor,NA,Republican,Randy Brock,8
Rutland,Hubbardton,NA,Governor,NA,Republican,Randy Brock,16
Chittenden,Huntington,NA,Governor,NA,Republican,Randy Brock,17
Lamoille,Hyde Park,NA,Governor,NA,Republican,Randy Brock,33
Rutland,Ira,NA,Governor,NA,Republican,Randy Brock,12
Orleans,Irasburg,NA,Governor,NA,Republican,Randy Brock,23
Grand Isle,Isle La Motte,NA,Governor,NA,Republican,Randy Brock,8
Windham,Jamaica,NA,Governor,NA,Republican,Randy Brock,10
Orleans,Jay,NA,Governor,NA,Republican,Randy Brock,10
Chittenden,Jericho,NA,Governor,NA,Republican,Randy Brock,80
Lamoille,Johnson,NA,Governor,NA,Republican,Randy Brock,21
Rutland,Killington,NA,Governor,NA,Republican,Randy Brock,14
Caledonia,Kirby,NA,Governor,NA,Republican,Randy Brock,29
Bennington,Landgrove,NA,Governor,NA,Republican,Randy Brock,1
Addison,Leicester,NA,Governor,NA,Republican,Randy Brock,15
Essex,Lemington,NA,Governor,NA,Republican,Randy Brock,2
Addison,Lincoln,NA,Governor,NA,Republican,Randy Brock,24
Windham,Londonderry,NA,Governor,NA,Republican,Randy Brock,14
Orleans,Lowell,NA,Governor,NA,Republican,Randy Brock,18
Windsor,Ludlow,NA,Governor,NA,Republican,Randy Brock,32
