county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. House,NA,Republican,Mark Donka,31
Orleans,Albany,NA,U.S. House,NA,Republican,Mark Donka,23
Grand Isle,Alburgh,NA,U.S. House,NA,Republican,Mark Donka,78
Windsor,Andover,NA,U.S. House,NA,Republican,Mark Donka,18
Bennington,Arlington,NA,U.S. House,NA,Republican,Mark Donka,24
Windham,Athens,NA,U.S. House,NA,Republican,Mark Donka,8
Franklin,Bakersfield,NA,U.S. House,NA,Republican,Mark Donka,25
Windsor,Baltimore,NA,U.S. House,NA,Republican,Mark Donka,10
Windsor,Barnard,NA,U.S. House,NA,Republican,Mark Donka,26
Caledonia,Barnet,NA,U.S. House,NA,Republican,Mark Donka,37
Washington,Barre City,NA,U.S. House,NA,Republican,Mark Donka,104
Washington,Barre Town,NA,U.S. House,NA,Republican,Mark Donka,150
Orleans,Barton,NA,U.S. House,NA,Republican,Mark Donka,22
Lamoille,Belvidere,NA,U.S. House,NA,Republican,Mark Donka,7
Bennington,Bennington,Bennington 2-1,U.S. House,NA,Republican,Mark Donka,23
Bennington,Bennington,Bennington 2-2,U.S. House,NA,Republican,Mark Donka,28
Rutland,Benson,NA,U.S. House,NA,Republican,Mark Donka,21
Franklin,Berkshire,NA,U.S. House,NA,Republican,Mark Donka,48
Washington,Berlin,NA,U.S. House,NA,Republican,Mark Donka,49
Windsor,Bethel,NA,U.S. House,NA,Republican,Mark Donka,16
Essex,Bloomfield,NA,U.S. House,NA,Republican,Mark Donka,1
Chittenden,Bolton,NA,U.S. House,NA,Republican,Mark Donka,11
Orange,Bradford,NA,U.S. House,NA,Republican,Mark Donka,34
Orange,Braintree,NA,U.S. House,NA,Republican,Mark Donka,12
Rutland,Brandon,NA,U.S. House,NA,Republican,Mark Donka,67
Windham,Brattleboro,Windham 2-1,U.S. House,NA,Republican,Mark Donka,34
Windham,Brattleboro,Windham 2-2,U.S. House,NA,Republican,Mark Donka,26
Windham,Brattleboro,Windham 2-3,U.S. House,NA,Republican,Mark Donka,18
Windsor,Bridgewater,NA,U.S. House,NA,Republican,Mark Donka,11
Addison,Bridport,NA,U.S. House,NA,Republican,Mark Donka,31
Essex,Brighton,NA,U.S. House,NA,Republican,Mark Donka,23
Addison,Bristol,NA,U.S. House,NA,Republican,Mark Donka,42
Orange,Brookfield,NA,U.S. House,NA,Republican,Mark Donka,5
Windham,Brookline,NA,U.S. House,NA,Republican,Mark Donka,11
Orleans,Brownington,NA,U.S. House,NA,Republican,Mark Donka,10
Essex,Brunswick,NA,U.S. House,NA,Republican,Mark Donka,6
Caledonia,Burke,NA,U.S. House,NA,Republican,Mark Donka,21
Chittenden,Burlington,Chittenden 6-1,U.S. House,NA,Republican,Mark Donka,105
Chittenden,Burlington,Chittenden 6-2,U.S. House,NA,Republican,Mark Donka,18
Chittenden,Burlington,Chittenden 6-3,U.S. House,NA,Republican,Mark Donka,21
Chittenden,Burlington,Chittenden 6-4,U.S. House,NA,Republican,Mark Donka,15
Chittenden,Burlington,Chittenden 6-5,U.S. House,NA,Republican,Mark Donka,31
Chittenden,Burlington,Chittenden 6-6,U.S. House,NA,Republican,Mark Donka,3
Chittenden,Burlington,Chittenden 6-7,U.S. House,NA,Republican,Mark Donka,0
Washington,Cabot,NA,U.S. House,NA,Republican,Mark Donka,10
Washington,Calais,NA,U.S. House,NA,Republican,Mark Donka,17
Lamoille,Cambridge,NA,U.S. House,NA,Republican,Mark Donka,42
Essex,Canaan,NA,U.S. House,NA,Republican,Mark Donka,19
Rutland,Castleton,NA,U.S. House,NA,Republican,Mark Donka,40
Windsor,Cavendish,NA,U.S. House,NA,Republican,Mark Donka,40
Orleans,Charleston,NA,U.S. House,NA,Republican,Mark Donka,24
Chittenden,Charlotte,NA,U.S. House,NA,Republican,Mark Donka,26
Orange,Chelsea,NA,U.S. House,NA,Republican,Mark Donka,30
Windsor,Chester,NA,U.S. House,NA,Republican,Mark Donka,40
Rutland,Chittenden,NA,U.S. House,NA,Republican,Mark Donka,13
Rutland,Clarendon,NA,U.S. House,NA,Republican,Mark Donka,28
Chittenden,Colchester,Chittenden 9-1,U.S. House,NA,Republican,Mark Donka,49
Chittenden,Colchester,Chittenden 9-2,U.S. House,NA,Republican,Mark Donka,74
Essex,Concord,NA,U.S. House,NA,Republican,Mark Donka,99
Orange,Corinth,NA,U.S. House,NA,Republican,Mark Donka,20
Addison,Cornwall,NA,U.S. House,NA,Republican,Mark Donka,12
Orleans,Coventry,NA,U.S. House,NA,Republican,Mark Donka,16
Orleans,Craftsbury,NA,U.S. House,NA,Republican,Mark Donka,18
Rutland,Danby,NA,U.S. House,NA,Republican,Mark Donka,86
Caledonia,Danville,NA,U.S. House,NA,Republican,Mark Donka,24
Orleans,Derby,NA,U.S. House,NA,Republican,Mark Donka,43
Bennington,Dorset,NA,U.S. House,NA,Republican,Mark Donka,25
Windham,Dover,NA,U.S. House,NA,Republican,Mark Donka,48
Windham,Dummerston,NA,U.S. House,NA,Republican,Mark Donka,19
Washington,Duxbury,NA,U.S. House,NA,Republican,Mark Donka,14
Essex,E. Haven,NA,U.S. House,NA,Republican,Mark Donka,6
Washington,E. Montpelier,NA,U.S. House,NA,Republican,Mark Donka,34
Lamoille,Eden,NA,U.S. House,NA,Republican,Mark Donka,8
Lamoille,Elmore,NA,U.S. House,NA,Republican,Mark Donka,4
Franklin,Enosburgh,NA,U.S. House,NA,Republican,Mark Donka,43
Chittenden,Essex,Chittenden 8-1,U.S. House,NA,Republican,Mark Donka,58
Chittenden,Essex,Chittenden 8-2,U.S. House,NA,Republican,Mark Donka,59
Chittenden,Essex,Chittenden 8-3,U.S. House,NA,Republican,Mark Donka,15
Rutland,Fair Haven,NA,U.S. House,NA,Republican,Mark Donka,39
