county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Independent,Bernie Sanders,440
Orleans,Albany,NA,U.S. Senate,NA,Independent,Bernie Sanders,323
Grand Isle,Alburgh,NA,U.S. Senate,NA,Independent,Bernie Sanders,629
Windsor,Andover,NA,U.S. Senate,NA,Independent,Bernie Sanders,1
Bennington,Arlington,NA,U.S. Senate,NA,Independent,Bernie Sanders,815
Windham,Athens,NA,U.S. Senate,NA,Independent,Bernie Sanders,80
Franklin,Bakersfield,NA,U.S. Senate,NA,Independent,Bernie Sanders,418
Windsor,Baltimore,NA,U.S. Senate,NA,Independent,Bernie Sanders,63
Windsor,Barnard,NA,U.S. Senate,NA,Independent,Bernie Sanders,346
Caledonia,Barnet,NA,U.S. Senate,NA,Independent,Bernie Sanders,630
Washington,Barre City,NA,U.S. Senate,NA,Independent,Bernie Sanders,"2,140"
Washington,Barre Town,NA,U.S. Senate,NA,Independent,Bernie Sanders,"2,397"
Orleans,Barton,NA,U.S. Senate,NA,Independent,Bernie Sanders,752
Lamoille,Belvidere,NA,U.S. Senate,NA,Independent,Bernie Sanders,89
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Independent,Bernie Sanders,"2,401"
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Independent,Bernie Sanders,"2,070"
Rutland,Benson,NA,U.S. Senate,NA,Independent,Bernie Sanders,318
Franklin,Berkshire,NA,U.S. Senate,NA,Independent,Bernie Sanders,373
Washington,Berlin,NA,U.S. Senate,NA,Independent,Bernie Sanders,872
Windsor,Bethel,NA,U.S. Senate,NA,Independent,Bernie Sanders,680
Essex,Bloomfield,NA,U.S. Senate,NA,Independent,Bernie Sanders,60
Chittenden,Bolton,NA,U.S. Senate,NA,Independent,Bernie Sanders,464
Orange,Bradford,NA,U.S. Senate,NA,Independent,Bernie Sanders,839
Orange,Braintree,NA,U.S. Senate,NA,Independent,Bernie Sanders,381
Rutland,Brandon,NA,U.S. Senate,NA,Independent,Bernie Sanders,"1,275"
Windham,Brattleboro,Windham 2-1,U.S. Senate,NA,Independent,Bernie Sanders,"1,593"
Windham,Brattleboro,Windham 2-2,U.S. Senate,NA,Independent,Bernie Sanders,"1,459"
Windham,Brattleboro,Windham 2-3,U.S. Senate,NA,Independent,Bernie Sanders,"1,504"
Windsor,Bridgewater,NA,U.S. Senate,NA,Independent,Bernie Sanders,313
Addison,Bridport,NA,U.S. Senate,NA,Independent,Bernie Sanders,390
Essex,Brighton,NA,U.S. Senate,NA,Independent,Bernie Sanders,344
Addison,Bristol,NA,U.S. Senate,NA,Independent,Bernie Sanders,"1,318"
Orange,Brookfield,NA,U.S. Senate,NA,Independent,Bernie Sanders,479
Windham,Brookline,NA,U.S. Senate,NA,Independent,Bernie Sanders,175
Orleans,Brownington,NA,U.S. Senate,NA,Independent,Bernie Sanders,257
Essex,Brunswick,NA,U.S. Senate,NA,Independent,Bernie Sanders,42
