county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Republican,Jack McMullen,31
Orleans,Albany,NA,Attorney General,NA,Republican,Jack McMullen,18
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Jack McMullen,83
Windsor,Andover,NA,Attorney General,NA,Republican,Jack McMullen,160
Bennington,Arlington,NA,Attorney General,NA,Republican,Jack McMullen,24
Windham,Athens,NA,Attorney General,NA,Republican,Jack McMullen,9
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Jack McMullen,26
Windsor,Baltimore,NA,Attorney General,NA,Republican,Jack McMullen,9
Windsor,Barnard,NA,Attorney General,NA,Republican,Jack McMullen,27
Caledonia,Barnet,NA,Attorney General,NA,Republican,Jack McMullen,37
Washington,Barre City,NA,Attorney General,NA,Republican,Jack McMullen,104
Washington,Barre Town,NA,Attorney General,NA,Republican,Jack McMullen,151
Orleans,Barton,NA,Attorney General,NA,Republican,Jack McMullen,21
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Jack McMullen,7
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Jack McMullen,24
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Jack McMullen,33
Rutland,Benson,NA,Attorney General,NA,Republican,Jack McMullen,22
Franklin,Berkshire,NA,Attorney General,NA,Republican,Jack McMullen,41
Washington,Berlin,NA,Attorney General,NA,Republican,Jack McMullen,48
Windsor,Bethel,NA,Attorney General,NA,Republican,Jack McMullen,17
Essex,Bloomfield,NA,Attorney General,NA,Republican,Jack McMullen,1
Chittenden,Bolton,NA,Attorney General,NA,Republican,Jack McMullen,7
Orange,Bradford,NA,Attorney General,NA,Republican,Jack McMullen,33
Orange,Braintree,NA,Attorney General,NA,Republican,Jack McMullen,12
Rutland,Brandon,NA,Attorney General,NA,Republican,Jack McMullen,72
Windham,Brattleboro,Windham 2-1,Attorney General,NA,Republican,Jack McMullen,36
Windham,Brattleboro,Windham 2-2,Attorney General,NA,Republican,Jack McMullen,25
Windham,Brattleboro,Windham 2-3,Attorney General,NA,Republican,Jack McMullen,16
Windsor,Bridgewater,NA,Attorney General,NA,Republican,Jack McMullen,7
Addison,Bridport,NA,Attorney General,NA,Republican,Jack McMullen,28
Essex,Brighton,NA,Attorney General,NA,Republican,Jack McMullen,19
Addison,Bristol,NA,Attorney General,NA,Republican,Jack McMullen,42
Orange,Brookfield,NA,Attorney General,NA,Republican,Jack McMullen,5
Windham,Brookline,NA,Attorney General,NA,Republican,Jack McMullen,12
Orleans,Brownington,NA,Attorney General,NA,Republican,Jack McMullen,9
Essex,Brunswick,NA,Attorney General,NA,Republican,Jack McMullen,6
Caledonia,Burke,NA,Attorney General,NA,Republican,Jack McMullen,24
Chittenden,Burlington,Chittenden 6-1,Attorney General,NA,Republican,Jack McMullen,106
Chittenden,Burlington,Chittenden 6-2,Attorney General,NA,Republican,Jack McMullen,18
Chittenden,Burlington,Chittenden 6-3,Attorney General,NA,Republican,Jack McMullen,18
Chittenden,Burlington,Chittenden 6-4,Attorney General,NA,Republican,Jack McMullen,14
Chittenden,Burlington,Chittenden 6-5,Attorney General,NA,Republican,Jack McMullen,31
Chittenden,Burlington,Chittenden 6-6,Attorney General,NA,Republican,Jack McMullen,3
Chittenden,Burlington,Chittenden 6-7,Attorney General,NA,Republican,Jack McMullen,0
Washington,Cabot,NA,Attorney General,NA,Republican,Jack McMullen,10
Washington,Calais,NA,Attorney General,NA,Republican,Jack McMullen,17
Lamoille,Cambridge,NA,Attorney General,NA,Republican,Jack McMullen,38
Essex,Canaan,NA,Attorney General,NA,Republican,Jack McMullen,21
Rutland,Castleton,NA,Attorney General,NA,Republican,Jack McMullen,38
Windsor,Cavendish,NA,Attorney General,NA,Republican,Jack McMullen,36
Orleans,Charleston,NA,Attorney General,NA,Republican,Jack McMullen,23
Chittenden,Charlotte,NA,Attorney General,NA,Republican,Jack McMullen,23
Orange,Chelsea,NA,Attorney General,NA,Republican,Jack McMullen,30
Windsor,Chester,NA,Attorney General,NA,Republican,Jack McMullen,39
Rutland,Chittenden,NA,Attorney General,NA,Republican,Jack McMullen,13
Rutland,Clarendon,NA,Attorney General,NA,Republican,Jack McMullen,29
Chittenden,Colchester,Chittenden 9-1,Attorney General,NA,Republican,Jack McMullen,44
Chittenden,Colchester,Chittenden 9-2,Attorney General,NA,Republican,Jack McMullen,68
Essex,Concord,NA,Attorney General,NA,Republican,Jack McMullen,99
Orange,Corinth,NA,Attorney General,NA,Republican,Jack McMullen,19
Addison,Cornwall,NA,Attorney General,NA,Republican,Jack McMullen,11
Orleans,Coventry,NA,Attorney General,NA,Republican,Jack McMullen,15
Orleans,Craftsbury,NA,Attorney General,NA,Republican,Jack McMullen,20
Rutland,Danby,NA,Attorney General,NA,Republican,Jack McMullen,85
Caledonia,Danville,NA,Attorney General,NA,Republican,Jack McMullen,26
Orleans,Derby,NA,Attorney General,NA,Republican,Jack McMullen,38
Bennington,Dorset,NA,Attorney General,NA,Republican,Jack McMullen,27
Windham,Dover,NA,Attorney General,NA,Republican,Jack McMullen,480
Windham,Dummerston,NA,Attorney General,NA,Republican,Jack McMullen,21
Washington,Duxbury,NA,Attorney General,NA,Republican,Jack McMullen,16
Essex,E. Haven,NA,Attorney General,NA,Republican,Jack McMullen,6
Washington,E. Montpelier,NA,Attorney General,NA,Republican,Jack McMullen,33
Lamoille,Eden,NA,Attorney General,NA,Republican,Jack McMullen,5
Lamoille,Elmore,NA,Attorney General,NA,Republican,Jack McMullen,7
Franklin,Enosburgh,NA,Attorney General,NA,Republican,Jack McMullen,42
Chittenden,Essex,Chittenden 8-1,Attorney General,NA,Republican,Jack McMullen,57
Chittenden,Essex,Chittenden 8-2,Attorney General,NA,Republican,Jack McMullen,56
Chittenden,Essex,Chittenden 8-3,Attorney General,NA,Republican,Jack McMullen,20
Rutland,Fair Haven,NA,Attorney General,NA,Republican,Jack McMullen,40
Franklin,Fairfax,NA,Attorney General,NA,Republican,Jack McMullen,80
Franklin,Fairfield,NA,Attorney General,NA,Republican,Jack McMullen,17
Orange,Fairlee,NA,Attorney General,NA,Republican,Jack McMullen,14
Washington,Fayston,NA,Attorney General,NA,Republican,Jack McMullen,7
Addison,Ferrisburgh,NA,Attorney General,NA,Republican,Jack McMullen,27
Franklin,Fletcher,NA,Attorney General,NA,Republican,Jack McMullen,12
Franklin,Franklin,NA,Attorney General,NA,Republican,Jack McMullen,40
Franklin,Georgia,NA,Attorney General,NA,Republican,Jack McMullen,106
Orleans,Glover,NA,Attorney General,NA,Republican,Jack McMullen,17
Addison,Goshen,NA,Attorney General,NA,Republican,Jack McMullen,11
Windham,Grafton,NA,Attorney General,NA,Republican,Jack McMullen,19
Essex,Granby,NA,Attorney General,NA,Republican,Jack McMullen,15
Grand Isle,Grand Isle,NA,Attorney General,NA,Republican,Jack McMullen,22
Addison,Granville,NA,Attorney General,NA,Republican,Jack McMullen,2
Orleans,Greensboro,NA,Attorney General,NA,Republican,Jack McMullen,13
Caledonia,Groton,NA,Attorney General,NA,Republican,Jack McMullen,22
Essex,Guildhall,NA,Attorney General,NA,Republican,Jack McMullen,22
Windham,Guilford,NA,Attorney General,NA,Republican,Jack McMullen,15
Windham,Halifax,NA,Attorney General,NA,Republican,Jack McMullen,15
Addison,Hancock,NA,Attorney General,NA,Republican,Jack McMullen,2
Caledonia,Hardwick,NA,Attorney General,NA,Republican,Jack McMullen,15
Windsor,Hartford,Windsor 4-1,Attorney General,NA,Republican,Jack McMullen,13
Windsor,Hartford,Windsor 4-2,Attorney General,NA,Republican,Jack McMullen,47
Windsor,Hartland,NA,Attorney General,NA,Republican,Jack McMullen,37
Franklin,Highgate,NA,Attorney General,NA,Republican,Jack McMullen,88
Chittenden,Hinesburg,Chittenden 4-1,Attorney General,NA,Republican,Jack McMullen,0
Chittenden,Hinesburg,Chittenden 4-2,Attorney General,NA,Republican,Jack McMullen,23
Orleans,Holland,NA,Attorney General,NA,Republican,Jack McMullen,7
Rutland,Hubbardton,NA,Attorney General,NA,Republican,Jack McMullen,12
Chittenden,Huntington,NA,Attorney General,NA,Republican,Jack McMullen,16
Lamoille,Hyde Park,NA,Attorney General,NA,Republican,Jack McMullen,23
Rutland,Ira,NA,Attorney General,NA,Republican,Jack McMullen,11
Orleans,Irasburg,NA,Attorney General,NA,Republican,Jack McMullen,13
Grand Isle,Isle La Motte,NA,Attorney General,NA,Republican,Jack McMullen,5
Windham,Jamaica,NA,Attorney General,NA,Republican,Jack McMullen,7
Orleans,Jay,NA,Attorney General,NA,Republican,Jack McMullen,10
Chittenden,Jericho,NA,Attorney General,NA,Republican,Jack McMullen,69
Lamoille,Johnson,NA,Attorney General,NA,Republican,Jack McMullen,18
Rutland,Killington,NA,Attorney General,NA,Republican,Jack McMullen,10
Caledonia,Kirby,NA,Attorney General,NA,Republican,Jack McMullen,27
Bennington,Landgrove,NA,Attorney General,NA,Republican,Jack McMullen,1
Addison,Leicester,NA,Attorney General,NA,Republican,Jack McMullen,14
Essex,Lemington,NA,Attorney General,NA,Republican,Jack McMullen,2
Addison,Lincoln,NA,Attorney General,NA,Republican,Jack McMullen,19
Windham,Londonderry,NA,Attorney General,NA,Republican,Jack McMullen,14
Orleans,Lowell,NA,Attorney General,NA,Republican,Jack McMullen,17
Windsor,Ludlow,NA,Attorney General,NA,Republican,Jack McMullen,25
Essex,Lunenburg,NA,Attorney General,NA,Republican,Jack McMullen,120
Caledonia,Lyndon,NA,Attorney General,NA,Republican,Jack McMullen,73
Essex,Maidstone,NA,Attorney General,NA,Republican,Jack McMullen,11
Bennington,Manchester,NA,Attorney General,NA,Republican,Jack McMullen,48
Windham,Marlboro,NA,Attorney General,NA,Republican,Jack McMullen,9
Washington,Marshfield,NA,Attorney General,NA,Republican,Jack McMullen,13
Rutland,Mendon,NA,Attorney General,NA,Republican,Jack McMullen,17
Addison,Middlebury,NA,Attorney General,NA,Republican,Jack McMullen,36
Washington,Middlesex,NA,Attorney General,NA,Republican,Jack McMullen,18
Rutland,Middletown Springs,NA,Attorney General,NA,Republican,Jack McMullen,16
Chittenden,Milton,Chittenden 10,Attorney General,NA,Republican,Jack McMullen,131
Chittenden,Milton,Grand Isle-Chittenden,Attorney General,NA,Republican,Jack McMullen,24
Addison,Monkton,NA,Attorney General,NA,Republican,Jack McMullen,15
Franklin,Montgomery,NA,Attorney General,NA,Republican,Jack McMullen,14
Washington,Montpelier,NA,Attorney General,NA,Republican,Jack McMullen,48
Washington,Moretown,NA,Attorney General,NA,Republican,Jack McMullen,25
Orleans,Morgan,NA,Attorney General,NA,Republican,Jack McMullen,20
Lamoille,Morristown,NA,Attorney General,NA,Republican,Jack McMullen,47
