county,town,precinct,office,district,party,candidate,votes
Chittenden,Essex,Chittenden 6-1,Attorney General,NA,Democratic,William H. Sorrell,"2,510"
Chittenden,Essex,Chittenden 6-2,Attorney General,NA,Democratic,William H. Sorrell,"2,804"
Chittenden,Essex,Chittenden 6-3,Attorney General,NA,Democratic,William H. Sorrell,830
Rutland,Fair Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,570
Franklin,Fairfax,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,159"
Franklin,Fairfield,NA,Attorney General,NA,Democratic,William H. Sorrell,621
Orange,Fairlee,NA,Attorney General,NA,Democratic,William H. Sorrell,279
Washington,Fayston,NA,Attorney General,NA,Democratic,William H. Sorrell,419
Addison,Ferrisburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,887
Franklin,Fletcher,NA,Attorney General,NA,Democratic,William H. Sorrell,342
Franklin,Franklin,NA,Attorney General,NA,Democratic,William H. Sorrell,306
Franklin,Georgia,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,176"
Orleans,Glover,NA,Attorney General,NA,Democratic,William H. Sorrell,324
Addison,Goshen,NA,Attorney General,NA,Democratic,William H. Sorrell,78
Windham,Grafton,NA,Attorney General,NA,Democratic,William H. Sorrell,189
Essex,Granby,NA,Attorney General,NA,Democratic,William H. Sorrell,12
Grand Isle,Grand Isle,NA,Attorney General,NA,Democratic,William H. Sorrell,753
Addison,Granville,NA,Attorney General,NA,Democratic,William H. Sorrell,97
Orleans,Greensboro,NA,Attorney General,NA,Democratic,William H. Sorrell,250
Caledonia,Groton,NA,Attorney General,NA,Democratic,William H. Sorrell,184
Essex,Guildhall,NA,Attorney General,NA,Democratic,William H. Sorrell,54
Windham,Guilford,NA,Attorney General,NA,Democratic,William H. Sorrell,663
Windham,Halifax,NA,Attorney General,NA,Democratic,William H. Sorrell,193
Addison,Hancock,NA,Attorney General,NA,Democratic,William H. Sorrell,103
Caledonia,Hardwick,NA,Attorney General,NA,Democratic,William H. Sorrell,842
Windsor,Hartford,Windsor 6-1,Attorney General,NA,Democratic,William H. Sorrell,524
Windsor,Hartford,Windsor 6-2,Attorney General,NA,Democratic,William H. Sorrell,"1,841"
Windsor,Hartland,NA,Attorney General,NA,Democratic,William H. Sorrell,948
Franklin,Highgate,NA,Attorney General,NA,Democratic,William H. Sorrell,757
Chittenden,Hinesburg,Chittenden 1-1,Attorney General,NA,Democratic,William H. Sorrell,"1,491"
Chittenden,Hinesburg,Chittenden 1-2,Attorney General,NA,Democratic,William H. Sorrell,66
Orleans,Holland,NA,Attorney General,NA,Democratic,William H. Sorrell,157
Rutland,Hubbardton,NA,Attorney General,NA,Democratic,William H. Sorrell,165
Chittenden,Huntington,NA,Attorney General,NA,Democratic,William H. Sorrell,737
Lamoille,Hyde Park,NA,Attorney General,NA,Democratic,William H. Sorrell,879
Rutland,Ira,Rutland Rutland 1-1,Attorney General,NA,Democratic,William H. Sorrell,17
Rutland,Ira,Rutland Rutland 1-2,Attorney General,NA,Democratic,William H. Sorrell,80
Orleans,Irasburg,NA,Attorney General,NA,Democratic,William H. Sorrell,293
Grand Isle,Isle La Motte,NA,Attorney General,NA,Democratic,William H. Sorrell,189
Windham,Jamaica,NA,Attorney General,NA,Democratic,William H. Sorrell,227
Orleans,Jay,NA,Attorney General,NA,Democratic,William H. Sorrell,110
Chittenden,Jericho,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,892"
Lamoille,Johnson,NA,Attorney General,NA,Democratic,William H. Sorrell,834
Rutland,Killington,NA,Attorney General,NA,Democratic,William H. Sorrell,249
Caledonia,Kirby,NA,Attorney General,NA,Democratic,William H. Sorrell,103
Bennington,Landgrove,NA,Attorney General,NA,Democratic,William H. Sorrell,64
Addison,Leicester,NA,Attorney General,NA,Democratic,William H. Sorrell,288
Essex,Lemington,NA,Attorney General,NA,Democratic,William H. Sorrell,23
Addison,Lincoln,NA,Attorney General,NA,Democratic,William H. Sorrell,515
Windham,Londonderry,NA,Attorney General,NA,Democratic,William H. Sorrell,413
Orleans,Lowell,NA,Attorney General,NA,Democratic,William H. Sorrell,189
Windsor,Ludlow,NA,Attorney General,NA,Democratic,William H. Sorrell,515
Essex,Lunenburg,NA,Attorney General,NA,Democratic,William H. Sorrell,230
Caledonia,Lyndon,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,051"
Essex,Maidstone,NA,Attorney General,NA,Democratic,William H. Sorrell,37
Bennington,Manchester,NA,Attorney General,NA,Democratic,William H. Sorrell,939
Windham,Marlboro,NA,Attorney General,NA,Democratic,William H. Sorrell,344
Washington,Marshfield,NA,Attorney General,NA,Democratic,William H. Sorrell,507
Rutland,Mendon,NA,Attorney General,NA,Democratic,William H. Sorrell,321
Addison,Middlebury,NA,Attorney General,NA,Democratic,William H. Sorrell,"2,172"
Washington,Middlesex,NA,Attorney General,NA,Democratic,William H. Sorrell,699
Rutland,Middletown Springs,NA,Attorney General,NA,Democratic,William H. Sorrell,262
Chittenden,Milton,Chittenden 9,Attorney General,NA,Democratic,William H. Sorrell,"2,274"
Chittenden,Milton,Grand Isle-Chittenden 1-1,Attorney General,NA,Democratic,William H. Sorrell,359
Addison,Monkton,NA,Attorney General,NA,Democratic,William H. Sorrell,692
Franklin,Montgomery,NA,Attorney General,NA,Democratic,William H. Sorrell,376
Washington,Montpelier,NA,Attorney General,NA,Democratic,William H. Sorrell,"3,137"
Washington,Moretown,NA,Attorney General,NA,Democratic,William H. Sorrell,600
Orleans,Morgan,NA,Attorney General,NA,Democratic,William H. Sorrell,190
Lamoille,Morristown,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,536"
Rutland,Mount Holly,NA,Attorney General,NA,Democratic,William H. Sorrell,397
Rutland,Mount Tabor,NA,Attorney General,NA,Democratic,William H. Sorrell,47
Addison,New Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,633
Caledonia,Newark,NA,Attorney General,NA,Democratic,William H. Sorrell,140
Orange,Newbury,Center Town House,Attorney General,NA,Democratic,William H. Sorrell,298
Orange,Newbury,Town Office,Attorney General,NA,Democratic,William H. Sorrell,116
Orange,Newbury,West River Village,Attorney General,NA,Democratic,William H. Sorrell,86
Windham,Newfane,NA,Attorney General,NA,Democratic,William H. Sorrell,602
Orleans,Newport City,NA,Attorney General,NA,Democratic,William H. Sorrell,924
Orleans,Newport Town,NA,Attorney General,NA,Democratic,William H. Sorrell,375
Grand Isle,N. Hero,NA,Attorney General,NA,Democratic,William H. Sorrell,341
Washington,Northfield,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,284"
Essex,Norton,NA,Attorney General,NA,Democratic,William H. Sorrell,31
Windsor,Norwich,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,489"
Orange,Orange,NA,Attorney General,NA,Democratic,William H. Sorrell,236
Addison,Orwell,NA,Attorney General,NA,Democratic,William H. Sorrell,340
Addison,Panton,NA,Attorney General,NA,Democratic,William H. Sorrell,210
Rutland,Pawlet,NA,Attorney General,NA,Democratic,William H. Sorrell,319
Caledonia,Peacham,NA,Attorney General,NA,Democratic,William H. Sorrell,283
Bennington,Peru,NA,Attorney General,NA,Democratic,William H. Sorrell,108
Rutland,Pittsfield,NA,Attorney General,NA,Democratic,William H. Sorrell,147
Rutland,Pittsford,NA,Attorney General,NA,Democratic,William H. Sorrell,744
Washington,Plainfield,NA,Attorney General,NA,Democratic,William H. Sorrell,480
Windsor,Plymouth,NA,Attorney General,NA,Democratic,William H. Sorrell,144
Windsor,Pomfret,NA,Attorney General,NA,Democratic,William H. Sorrell,345
Rutland,Poultney,NA,Attorney General,NA,Democratic,William H. Sorrell,686
Bennington,Pownal,NA,Attorney General,NA,Democratic,William H. Sorrell,707
Rutland,Proctor,NA,Attorney General,NA,Democratic,William H. Sorrell,465
Windham,Putney,NA,Attorney General,NA,Democratic,William H. Sorrell,868
Orange,Randolph,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,297"
Windsor,Reading,NA,Attorney General,NA,Democratic,William H. Sorrell,202
Bennington,Readsboro,NA,Attorney General,NA,Democratic,William H. Sorrell,174
Franklin,Richford,NA,Attorney General,NA,Democratic,William H. Sorrell,558
Chittenden,Richmond,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,603"
Addison,Ripton,NA,Attorney General,NA,Democratic,William H. Sorrell,249
Windsor,Rochester,NA,Attorney General,NA,Democratic,William H. Sorrell,440
Windham,Rockingham,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,281"
