county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Republican,Rich Tarrant,78
Orleans,Albany,NA,U.S. Senate,NA,Republican,Rich Tarrant,40
Grand Isle,Alburgh,NA,U.S. Senate,NA,Republican,Rich Tarrant,81
Windsor,Andover,NA,U.S. Senate,NA,Republican,Rich Tarrant,29
Bennington,Arlington,NA,U.S. Senate,NA,Republican,Rich Tarrant,116
Windham,Athens,NA,U.S. Senate,NA,Republican,Rich Tarrant,9
Franklin,Bakersfield,NA,U.S. Senate,NA,Republican,Rich Tarrant,36
Windsor,Baltimore,NA,U.S. Senate,NA,Republican,Rich Tarrant,8
Windsor,Barnard,NA,U.S. Senate,NA,Republican,Rich Tarrant,44
Caledonia,Barnet,NA,U.S. Senate,NA,Republican,Rich Tarrant,90
Washington,Barre City,Washington 3-1,U.S. Senate,NA,Republican,Rich Tarrant,194
Washington,Barre City,Washington 3-2,U.S. Senate,NA,Republican,Rich Tarrant,122
Washington,Barre City,Washington 3-3,U.S. Senate,NA,Republican,Rich Tarrant,15
Washington,Barre Town,NA,U.S. Senate,NA,Republican,Rich Tarrant,491
Orleans,Barton,NA,U.S. Senate,NA,Republican,Rich Tarrant,119
Lamoille,Belvidere,NA,U.S. Senate,NA,Republican,Rich Tarrant,16
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Republican,Rich Tarrant,204
Bennington,Bennington,Bennington 2-1 Nb,U.S. Senate,NA,Republican,Rich Tarrant,27
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Republican,Rich Tarrant,203
Bennington,Bennington,Bennington 5,U.S. Senate,NA,Republican,Rich Tarrant,7
Rutland,Benson,NA,U.S. Senate,NA,Republican,Rich Tarrant,26
Franklin,Berkshire,NA,U.S. Senate,NA,Republican,Rich Tarrant,58
Washington,Berlin,NA,U.S. Senate,NA,Republican,Rich Tarrant,103
Windsor,Bethel,NA,U.S. Senate,NA,Republican,Rich Tarrant,66
Essex,Bloomfield,NA,U.S. Senate,NA,Republican,Rich Tarrant,7
Chittenden,Bolton,NA,U.S. Senate,NA,Republican,Rich Tarrant,43
Orange,Bradford,NA,U.S. Senate,NA,Republican,Rich Tarrant,92
Orange,Braintree,NA,U.S. Senate,NA,Republican,Rich Tarrant,58
Rutland,Brandon,NA,U.S. Senate,NA,Republican,Rich Tarrant,192
Windham,Brattleboro,Windham 3-1,U.S. Senate,NA,Republican,Rich Tarrant,72
Windham,Brattleboro,Windham 3-2,U.S. Senate,NA,Republican,Rich Tarrant,61
Windham,Brattleboro,Windham 3-3,U.S. Senate,NA,Republican,Rich Tarrant,54
Windsor,Bridgewater,NA,U.S. Senate,NA,Republican,Rich Tarrant,43
Addison,Bridport,NA,U.S. Senate,NA,Republican,Rich Tarrant,87
Essex,Brighton,NA,U.S. Senate,NA,Republican,Rich Tarrant,87
Addison,Bristol,NA,U.S. Senate,NA,Republican,Rich Tarrant,111
Orange,Brookfield,NA,U.S. Senate,NA,Republican,Rich Tarrant,69
Windham,Brookline,NA,U.S. Senate,NA,Republican,Rich Tarrant,13
Orleans,Brownington,NA,U.S. Senate,NA,Republican,Rich Tarrant,30
Essex,Brunswick,NA,U.S. Senate,NA,Republican,Rich Tarrant,3
Caledonia,Burke,NA,U.S. Senate,NA,Republican,Rich Tarrant,60
Chittenden,Burlington,Chittenden 3-1,U.S. Senate,NA,Republican,Rich Tarrant,380
Chittenden,Burlington,Chittenden 3-2,U.S. Senate,NA,Republican,Rich Tarrant,171
Chittenden,Burlington,Chittenden 3-3,U.S. Senate,NA,Republican,Rich Tarrant,92
Chittenden,Burlington,Chittenden 3-4,U.S. Senate,NA,Republican,Rich Tarrant,73
Chittenden,Burlington,Chittenden 3-5,U.S. Senate,NA,Republican,Rich Tarrant,283
Chittenden,Burlington,Chittenden 3-6,U.S. Senate,NA,Republican,Rich Tarrant,25
Washington,Cabot,NA,U.S. Senate,NA,Republican,Rich Tarrant,35
Washington,Calais,NA,U.S. Senate,NA,Republican,Rich Tarrant,63
Lamoille,Cambridge,NA,U.S. Senate,NA,Republican,Rich Tarrant,88
Essex,Canaan,NA,U.S. Senate,NA,Republican,Rich Tarrant,32
Rutland,Castleton,NA,U.S. Senate,NA,Republican,Rich Tarrant,111
Windsor,Cavendish,NA,U.S. Senate,NA,Republican,Rich Tarrant,51
Orleans,Charleston,NA,U.S. Senate,NA,Republican,Rich Tarrant,32
Chittenden,Charlotte,NA,U.S. Senate,NA,Republican,Rich Tarrant,181
Orange,Chelsea,NA,U.S. Senate,NA,Republican,Rich Tarrant,105
Windsor,Chester,NA,U.S. Senate,NA,Republican,Rich Tarrant,105
