county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. Senate,NA,Independent,Bernard Sanders,378
Orleans,Albany,NA,U.S. Senate,NA,Independent,Bernard Sanders,285
Grand Isle,Alburgh,NA,U.S. Senate,NA,Independent,Bernard Sanders,489
Windsor,Andover,NA,U.S. Senate,NA,Independent,Bernard Sanders,152
Bennington,Arlington,NA,U.S. Senate,NA,Independent,Bernard Sanders,653
Windham,Athens,NA,U.S. Senate,NA,Independent,Bernard Sanders,64
Franklin,Bakersfield,NA,U.S. Senate,NA,Independent,Bernard Sanders,362
Windsor,Baltimore,NA,U.S. Senate,NA,Independent,Bernard Sanders,46
Windsor,Barnard,NA,U.S. Senate,NA,Independent,Bernard Sanders,333
Caledonia,Barnet,NA,U.S. Senate,NA,Independent,Bernard Sanders,492
Washington,Barre City,Washington 3-1,U.S. Senate,NA,Independent,Bernard Sanders,"1,063"
Washington,Barre City,Washington 3-2,U.S. Senate,NA,Independent,Bernard Sanders,889
Washington,Barre City,Washington 3-3,U.S. Senate,NA,Independent,Bernard Sanders,155
Washington,Barre Town,NA,U.S. Senate,NA,Independent,Bernard Sanders,"2,042"
Orleans,Barton,NA,U.S. Senate,NA,Independent,Bernard Sanders,670
Lamoille,Belvidere,NA,U.S. Senate,NA,Independent,Bernard Sanders,75
Bennington,Bennington,Bennington 2-1,U.S. Senate,NA,Independent,Bernard Sanders,"1,324"
Bennington,Bennington,Bennington 2-1 Nb,U.S. Senate,NA,Independent,Bernard Sanders,382
Bennington,Bennington,Bennington 2-2,U.S. Senate,NA,Independent,Bernard Sanders,"1,694"
Bennington,Bennington,Bennington 5,U.S. Senate,NA,Independent,Bernard Sanders,18
Rutland,Benson,NA,U.S. Senate,NA,Independent,Bernard Sanders,276
Franklin,Berkshire,NA,U.S. Senate,NA,Independent,Bernard Sanders,355
Washington,Berlin,NA,U.S. Senate,NA,Independent,Bernard Sanders,737
Windsor,Bethel,NA,U.S. Senate,NA,Independent,Bernard Sanders,629
Essex,Bloomfield,NA,U.S. Senate,NA,Independent,Bernard Sanders,53
Chittenden,Bolton,NA,U.S. Senate,NA,Independent,Bernard Sanders,369
Orange,Bradford,NA,U.S. Senate,NA,Independent,Bernard Sanders,677
Orange,Braintree,NA,U.S. Senate,NA,Independent,Bernard Sanders,352
Rutland,Brandon,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,164"
Windham,Brattleboro,Windham 3-1,U.S. Senate,NA,Independent,Bernard Sanders,"1,359"
Windham,Brattleboro,Windham 3-2,U.S. Senate,NA,Independent,Bernard Sanders,"1,186"
Windham,Brattleboro,Windham 3-3,U.S. Senate,NA,Independent,Bernard Sanders,"1,183"
Windsor,Bridgewater,NA,U.S. Senate,NA,Independent,Bernard Sanders,273
Addison,Bridport,NA,U.S. Senate,NA,Independent,Bernard Sanders,359
Essex,Brighton,NA,U.S. Senate,NA,Independent,Bernard Sanders,308
Addison,Bristol,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,175"
Orange,Brookfield,NA,U.S. Senate,NA,Independent,Bernard Sanders,428
Windham,Brookline,NA,U.S. Senate,NA,Independent,Bernard Sanders,139
Orleans,Brownington,NA,U.S. Senate,NA,Independent,Bernard Sanders,194
Essex,Brunswick,NA,U.S. Senate,NA,Independent,Bernard Sanders,31
Caledonia,Burke,NA,U.S. Senate,NA,Independent,Bernard Sanders,419
Chittenden,Burlington,Chittenden 3-1,U.S. Senate,NA,Independent,Bernard Sanders,"2,269"
Chittenden,Burlington,Chittenden 3-2,U.S. Senate,NA,Independent,Bernard Sanders,"1,313"
Chittenden,Burlington,Chittenden 3-3,U.S. Senate,NA,Independent,Bernard Sanders,"2,666"
Chittenden,Burlington,Chittenden 3-4,U.S. Senate,NA,Independent,Bernard Sanders,"1,750"
Chittenden,Burlington,Chittenden 3-5,U.S. Senate,NA,Independent,Bernard Sanders,"3,042"
Chittenden,Burlington,Chittenden 3-6,U.S. Senate,NA,Independent,Bernard Sanders,458
Washington,Cabot,NA,U.S. Senate,NA,Independent,Bernard Sanders,469
Washington,Calais,NA,U.S. Senate,NA,Independent,Bernard Sanders,713
Lamoille,Cambridge,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,058"
Essex,Canaan,NA,U.S. Senate,NA,Independent,Bernard Sanders,232
Rutland,Castleton,NA,U.S. Senate,NA,Independent,Bernard Sanders,868
Windsor,Cavendish,NA,U.S. Senate,NA,Independent,Bernard Sanders,347
Orleans,Charleston,NA,U.S. Senate,NA,Independent,Bernard Sanders,240
Chittenden,Charlotte,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,387"
Orange,Chelsea,NA,U.S. Senate,NA,Independent,Bernard Sanders,359
Windsor,Chester,NA,U.S. Senate,NA,Independent,Bernard Sanders,996
Rutland,Chittenden,NA,U.S. Senate,NA,Independent,Bernard Sanders,354
Rutland,Clarendon,NA,U.S. Senate,NA,Independent,Bernard Sanders,569
Chittenden,Colchester,Chittenden 7-1,U.S. Senate,NA,Independent,Bernard Sanders,"1,750"
Chittenden,Colchester,Chittenden 7-2,U.S. Senate,NA,Independent,Bernard Sanders,"1,943"
Essex,Concord,NA,U.S. Senate,NA,Independent,Bernard Sanders,299
Orange,Corinth,NA,U.S. Senate,NA,Independent,Bernard Sanders,410
Addison,Cornwall,NA,U.S. Senate,NA,Independent,Bernard Sanders,462
Orleans,Coventry,NA,U.S. Senate,NA,Independent,Bernard Sanders,227
Orleans,Craftsbury,NA,U.S. Senate,NA,Independent,Bernard Sanders,438
Rutland,Danby,NA,U.S. Senate,NA,Independent,Bernard Sanders,382
Caledonia,Danville,NA,U.S. Senate,NA,Independent,Bernard Sanders,627
Orleans,Derby,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,036"
Bennington,Dorset,NA,U.S. Senate,NA,Independent,Bernard Sanders,567
Windham,Dover,NA,U.S. Senate,NA,Independent,Bernard Sanders,287
Windham,Dummerston,NA,U.S. Senate,NA,Independent,Bernard Sanders,705
Washington,Duxbury,NA,U.S. Senate,NA,Independent,Bernard Sanders,455
Essex,E. Haven,NA,U.S. Senate,NA,Independent,Bernard Sanders,92
Washington,E. Montpelier,NA,U.S. Senate,NA,Independent,Bernard Sanders,"1,024"
Lamoille,Eden,NA,U.S. Senate,NA,Independent,Bernard Sanders,283
Lamoille,Elmore,NA,U.S. Senate,NA,Independent,Bernard Sanders,316
Franklin,Enosburgh,NA,U.S. Senate,NA,Independent,Bernard Sanders,614
Chittenden,Essex,Chittenden 6-1,U.S. Senate,NA,Independent,Bernard Sanders,"2,090"
Chittenden,Essex,Chittenden 6-2,U.S. Senate,NA,Independent,Bernard Sanders,"2,421"
Chittenden,Essex,Chittenden 6-3,U.S. Senate,NA,Independent,Bernard Sanders,722
Rutland,Fair Haven,NA,U.S. Senate,NA,Independent,Bernard Sanders,663
Franklin,Fairfax,NA,U.S. Senate,NA,Independent,Bernard Sanders,996
Franklin,Fairfield,NA,U.S. Senate,NA,Independent,Bernard Sanders,571
Orange,Fairlee,NA,U.S. Senate,NA,Independent,Bernard Sanders,323
Washington,Fayston,NA,U.S. Senate,NA,Independent,Bernard Sanders,429
Addison,Ferrisburgh,NA,U.S. Senate,NA,Independent,Bernard Sanders,832
Franklin,Fletcher,NA,U.S. Senate,NA,Independent,Bernard Sanders,344
