county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Republican,Shane McCormack,8
Orleans,Albany,NA,Attorney General,NA,Republican,Shane McCormack,12
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Shane McCormack,25
Windsor,Andover,NA,Attorney General,NA,Republican,Shane McCormack,4
Bennington,Arlington,NA,Attorney General,NA,Republican,Shane McCormack,1
Windham,Athens,NA,Attorney General,NA,Republican,Shane McCormack,0
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Shane McCormack,2
Windsor,Baltimore,NA,Attorney General,NA,Republican,Shane McCormack,1
Windsor,Barnard,NA,Attorney General,NA,Republican,Shane McCormack,3
Caledonia,Barnet,NA,Attorney General,NA,Republican,Shane McCormack,9
Washington,Barre City,NA,Attorney General,NA,Republican,Shane McCormack,36
Washington,Barre Town,NA,Attorney General,NA,Republican,Shane McCormack,47
Orleans,Barton,NA,Attorney General,NA,Republican,Shane McCormack,15
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Shane McCormack,0
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Shane McCormack,10
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Shane McCormack,9
Rutland,Benson,NA,Attorney General,NA,Republican,Shane McCormack,0
Franklin,Berkshire,NA,Attorney General,NA,Republican,Shane McCormack,6
Washington,Berlin,NA,Attorney General,NA,Republican,Shane McCormack,13
Windsor,Bethel,NA,Attorney General,NA,Republican,Shane McCormack,2
Essex,Bloomfield,NA,Attorney General,NA,Republican,Shane McCormack,1
Chittenden,Bolton,NA,Attorney General,NA,Republican,Shane McCormack,0
Orange,Bradford,NA,Attorney General,NA,Republican,Shane McCormack,4
Orange,Braintree,NA,Attorney General,NA,Republican,Shane McCormack,1
Rutland,Brandon,NA,Attorney General,NA,Republican,Shane McCormack,16
Windham,Brattleboro,Windham 2-1,Attorney General,NA,Republican,Shane McCormack,2
Windham,Brattleboro,Windham 2-2,Attorney General,NA,Republican,Shane McCormack,5
