county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Democratic,William H. Sorrell,261
Orleans,Albany,NA,Attorney General,NA,Democratic,William H. Sorrell,166
Grand Isle,Alburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,351
Windsor,Andover,NA,Attorney General,NA,Democratic,William H. Sorrell,99
Bennington,Arlington,NA,Attorney General,NA,Democratic,William H. Sorrell,400
Windham,Athens,NA,Attorney General,NA,Democratic,William H. Sorrell,45
Franklin,Bakersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,216
Windsor,Baltimore,NA,Attorney General,NA,Democratic,William H. Sorrell,25
Windsor,Barnard,NA,Attorney General,NA,Democratic,William H. Sorrell,238
Caledonia,Barnet,NA,Attorney General,NA,Democratic,William H. Sorrell,312
Washington,Barre City,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,147"
Washington,Barre Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,354"
Orleans,Barton,NA,Attorney General,NA,Democratic,William H. Sorrell,346
Lamoille,Belvidere,NA,Attorney General,NA,Democratic,William H. Sorrell,47
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,159"
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Democratic,William H. Sorrell,991
Rutland,Benson,NA,Attorney General,NA,Democratic,William H. Sorrell,123
Franklin,Berkshire,NA,Attorney General,NA,Democratic,William H. Sorrell,200
Washington,Berlin,NA,Attorney General,NA,Democratic,William H. Sorrell,474
Windsor,Bethel,NA,Attorney General,NA,Democratic,William H. Sorrell,385
Essex,Bloomfield,NA,Attorney General,NA,Democratic,William H. Sorrell,32
Chittenden,Bolton,NA,Attorney General,NA,Democratic,William H. Sorrell,259
Orange,Bradford,NA,Attorney General,NA,Democratic,William H. Sorrell,334
Orange,Braintree,NA,Attorney General,NA,Democratic,William H. Sorrell,215
Rutland,Brandon,NA,Attorney General,NA,Democratic,William H. Sorrell,714
Windham,Brattleboro,Windham 2-1,Attorney General,NA,Democratic,William H. Sorrell,764
Windham,Brattleboro,Windham 2-2,Attorney General,NA,Democratic,William H. Sorrell,681
Windham,Brattleboro,Windham 2-3,Attorney General,NA,Democratic,William H. Sorrell,782
Windsor,Bridgewater,NA,Attorney General,NA,Democratic,William H. Sorrell,149
Addison,Bridport,NA,Attorney General,NA,Democratic,William H. Sorrell,230
Essex,Brighton,NA,Attorney General,NA,Democratic,William H. Sorrell,163
Addison,Bristol,NA,Attorney General,NA,Democratic,William H. Sorrell,910
Orange,Brookfield,NA,Attorney General,NA,Democratic,William H. Sorrell,271
Windham,Brookline,NA,Attorney General,NA,Democratic,William H. Sorrell,115
Orleans,Brownington,NA,Attorney General,NA,Democratic,William H. Sorrell,168
Essex,Brunswick,NA,Attorney General,NA,Democratic,William H. Sorrell,19
Caledonia,Burke,NA,Attorney General,NA,Democratic,William H. Sorrell,214
