county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Governor,NA,Democratic,Peter Shumlin,166
Orleans,Albany,NA,Governor,NA,Democratic,Peter Shumlin,88
Grand Isle,Alburgh,NA,Governor,NA,Democratic,Peter Shumlin,257
Windsor,Andover,NA,Governor,NA,Democratic,Peter Shumlin,99
Bennington,Arlington,NA,Governor,NA,Democratic,Peter Shumlin,400
Windham,Athens,NA,Governor,NA,Democratic,Peter Shumlin,44
Franklin,Bakersfield,NA,Governor,NA,Democratic,Peter Shumlin,151
Windsor,Baltimore,NA,Governor,NA,Democratic,Peter Shumlin,23
Windsor,Barnard,NA,Governor,NA,Democratic,Peter Shumlin,200
Caledonia,Barnet,NA,Governor,NA,Democratic,Peter Shumlin,252
Washington,Barre City,NA,Governor,NA,Democratic,Peter Shumlin,769
Washington,Barre Town,NA,Governor,NA,Democratic,Peter Shumlin,771
Orleans,Barton,NA,Governor,NA,Democratic,Peter Shumlin,185
Lamoille,Belvidere,NA,Governor,NA,Democratic,Peter Shumlin,30
Bennington,Bennington,Bennington 2-1,Governor,NA,Democratic,Peter Shumlin,"1,282"
Bennington,Bennington,Bennington 2-2,Governor,NA,Democratic,Peter Shumlin,"1,111"
Rutland,Benson,NA,Governor,NA,Democratic,Peter Shumlin,88
Franklin,Berkshire,NA,Governor,NA,Democratic,Peter Shumlin,123
Washington,Berlin,NA,Governor,NA,Democratic,Peter Shumlin,304
Windsor,Bethel,NA,Governor,NA,Democratic,Peter Shumlin,302
Essex,Bloomfield,NA,Governor,NA,Democratic,Peter Shumlin,29
Chittenden,Bolton,NA,Governor,NA,Democratic,Peter Shumlin,212
Orange,Bradford,NA,Governor,NA,Democratic,Peter Shumlin,308
Orange,Braintree,NA,Governor,NA,Democratic,Peter Shumlin,162
Rutland,Brandon,NA,Governor,NA,Democratic,Peter Shumlin,552
Windham,Brattleboro,Windham 2-1,Governor,NA,Democratic,Peter Shumlin,730
Windham,Brattleboro,Windham 2-2,Governor,NA,Democratic,Peter Shumlin,696
Windham,Brattleboro,Windham 2-3,Governor,NA,Democratic,Peter Shumlin,794
Windsor,Bridgewater,NA,Governor,NA,Democratic,Peter Shumlin,134
Addison,Bridport,NA,Governor,NA,Democratic,Peter Shumlin,154
Essex,Brighton,NA,Governor,NA,Democratic,Peter Shumlin,103
Addison,Bristol,NA,Governor,NA,Democratic,Peter Shumlin,718
Orange,Brookfield,NA,Governor,NA,Democratic,Peter Shumlin,191
Windham,Brookline,NA,Governor,NA,Democratic,Peter Shumlin,103
Orleans,Brownington,NA,Governor,NA,Democratic,Peter Shumlin,102
Essex,Brunswick,NA,Governor,NA,Democratic,Peter Shumlin,14
Caledonia,Burke,NA,Governor,NA,Democratic,Peter Shumlin,138
Chittenden,Burlington,Chittenden 6-1,Governor,NA,Democratic,Peter Shumlin,"1,498"
Chittenden,Burlington,Chittenden 6-2,Governor,NA,Democratic,Peter Shumlin,924
Chittenden,Burlington,Chittenden 6-3,Governor,NA,Democratic,Peter Shumlin,"1,053"
Chittenden,Burlington,Chittenden 6-4,Governor,NA,Democratic,Peter Shumlin,798
Chittenden,Burlington,Chittenden 6-5,Governor,NA,Democratic,Peter Shumlin,"1,849"
Chittenden,Burlington,Chittenden 6-6,Governor,NA,Democratic,Peter Shumlin,249
Chittenden,Burlington,Chittenden 6-7,Governor,NA,Democratic,Peter Shumlin,30
Washington,Cabot,NA,Governor,NA,Democratic,Peter Shumlin,192
Washington,Calais,NA,Governor,NA,Democratic,Peter Shumlin,398
Lamoille,Cambridge,NA,Governor,NA,Democratic,Peter Shumlin,517
Essex,Canaan,NA,Governor,NA,Democratic,Peter Shumlin,83
Rutland,Castleton,NA,Governor,NA,Democratic,Peter Shumlin,326
Windsor,Cavendish,NA,Governor,NA,Democratic,Peter Shumlin,202
Orleans,Charleston,NA,Governor,NA,Democratic,Peter Shumlin,85
Chittenden,Charlotte,NA,Governor,NA,Democratic,Peter Shumlin,784
Orange,Chelsea,NA,Governor,NA,Democratic,Peter Shumlin,155
Windsor,Chester,NA,Governor,NA,Democratic,Peter Shumlin,467
Rutland,Chittenden,NA,Governor,NA,Democratic,Peter Shumlin,209
Rutland,Clarendon,NA,Governor,NA,Democratic,Peter Shumlin,231
Chittenden,Colchester,Chittenden 9-1,Governor,NA,Democratic,Peter Shumlin,775
Chittenden,Colchester,Chittenden 9-2,Governor,NA,Democratic,Peter Shumlin,"1,061"
Essex,Concord,NA,Governor,NA,Democratic,Peter Shumlin,88
Orange,Corinth,NA,Governor,NA,Democratic,Peter Shumlin,195
Addison,Cornwall,NA,Governor,NA,Democratic,Peter Shumlin,237
