county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,U.S. House,NA,Democratic,Peter Welch,284
Orleans,Albany,NA,U.S. House,NA,Democratic,Peter Welch,186
Grand Isle,Alburgh,NA,U.S. House,NA,Democratic,Peter Welch,383
Windsor,Andover,NA,U.S. House,NA,Democratic,Peter Welch,105
Bennington,Arlington,NA,U.S. House,NA,Democratic,Peter Welch,477
Windham,Athens,NA,U.S. House,NA,Democratic,Peter Welch,51
Franklin,Bakersfield,NA,U.S. House,NA,Democratic,Peter Welch,237
Windsor,Baltimore,NA,U.S. House,NA,Democratic,Peter Welch,27
Windsor,Barnard,NA,U.S. House,NA,Democratic,Peter Welch,265
Caledonia,Barnet,NA,U.S. House,NA,Democratic,Peter Welch,353
Washington,Barre City,NA,U.S. House,NA,Democratic,Peter Welch,"1,310"
Washington,Barre Town,NA,U.S. House,NA,Democratic,Peter Welch,"1,535"
Orleans,Barton,NA,U.S. House,NA,Democratic,Peter Welch,395
Lamoille,Belvidere,NA,U.S. House,NA,Democratic,Peter Welch,51
Bennington,Bennington,Bennington 2-1,U.S. House,NA,Democratic,Peter Welch,"1,401"
Bennington,Bennington,Bennington 2-2,U.S. House,NA,Democratic,Peter Welch,"1,220"
Rutland,Benson,NA,U.S. House,NA,Democratic,Peter Welch,145
Franklin,Berkshire,NA,U.S. House,NA,Democratic,Peter Welch,233
Washington,Berlin,NA,U.S. House,NA,Democratic,Peter Welch,526
Windsor,Bethel,NA,U.S. House,NA,Democratic,Peter Welch,416
Essex,Bloomfield,NA,U.S. House,NA,Democratic,Peter Welch,24
Chittenden,Bolton,NA,U.S. House,NA,Democratic,Peter Welch,288
Orange,Bradford,NA,U.S. House,NA,Democratic,Peter Welch,403
Orange,Braintree,NA,U.S. House,NA,Democratic,Peter Welch,232
Rutland,Brandon,NA,U.S. House,NA,Democratic,Peter Welch,833
Windham,Brattleboro,Windham 2-1,U.S. House,NA,Democratic,Peter Welch,858
Windham,Brattleboro,Windham 2-2,U.S. House,NA,Democratic,Peter Welch,756
Windham,Brattleboro,Windham 2-3,U.S. House,NA,Democratic,Peter Welch,858
Windsor,Bridgewater,NA,U.S. House,NA,Democratic,Peter Welch,176
Addison,Bridport,NA,U.S. House,NA,Democratic,Peter Welch,243
Essex,Brighton,NA,U.S. House,NA,Democratic,Peter Welch,197
Addison,Bristol,NA,U.S. House,NA,Democratic,Peter Welch,"1,010"
Orange,Brookfield,NA,U.S. House,NA,Democratic,Peter Welch,291
Windham,Brookline,NA,U.S. House,NA,Democratic,Peter Welch,123
Orleans,Brownington,NA,U.S. House,NA,Democratic,Peter Welch,174
Essex,Brunswick,NA,U.S. House,NA,Democratic,Peter Welch,25
Caledonia,Burke,NA,U.S. House,NA,Democratic,Peter Welch,257
Chittenden,Burlington,Chittenden 6-1,U.S. House,NA,Democratic,Peter Welch,"1,963"
Chittenden,Burlington,Chittenden 6-2,U.S. House,NA,Democratic,Peter Welch,"1,131"
Chittenden,Burlington,Chittenden 6-3,U.S. House,NA,Democratic,Peter Welch,"1,176"
Chittenden,Burlington,Chittenden 6-4,U.S. House,NA,Democratic,Peter Welch,879
Chittenden,Burlington,Chittenden 6-5,U.S. House,NA,Democratic,Peter Welch,"2,193"
Chittenden,Burlington,Chittenden 6-6,U.S. House,NA,Democratic,Peter Welch,304
