county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Democratic,William H. Sorrell,520
Orleans,Albany,NA,Attorney General,NA,Democratic,William H. Sorrell,317
Grand Isle,Alburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,686
Windsor,Andover,NA,Attorney General,NA,Democratic,William H. Sorrell,167
Bennington,Arlington,NA,Attorney General,NA,Democratic,William H. Sorrell,798
Windham,Athens,NA,Attorney General,NA,Democratic,William H. Sorrell,76
Franklin,Bakersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,437
Windsor,Baltimore,NA,Attorney General,NA,Democratic,William H. Sorrell,58
Windsor,Barnard,NA,Attorney General,NA,Democratic,William H. Sorrell,340
Caledonia,Barnet,NA,Attorney General,NA,Democratic,William H. Sorrell,592
Washington,Barre City,Washington 3-1,Attorney General,NA,Democratic,William H. Sorrell,"1,299"
Washington,Barre City,Washington 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,075"
Washington,Barre City,Washington 3-3,Attorney General,NA,Democratic,William H. Sorrell,198
Washington,Barre Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"3,015"
Orleans,Barton,NA,Attorney General,NA,Democratic,William H. Sorrell,861
Lamoille,Belvidere,NA,Attorney General,NA,Democratic,William H. Sorrell,91
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Democratic,William H. Sorrell,"1,942"
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Democratic,William H. Sorrell,"1,868"
Bennington,Bennington,Bennington 5,Attorney General,NA,Democratic,William H. Sorrell,30
Rutland,Benson,NA,Attorney General,NA,Democratic,William H. Sorrell,331
Franklin,Berkshire,NA,Attorney General,NA,Democratic,William H. Sorrell,466
Washington,Berlin,NA,Attorney General,NA,Democratic,William H. Sorrell,993
Windsor,Bethel,NA,Attorney General,NA,Democratic,William H. Sorrell,672
Essex,Bloomfield,NA,Attorney General,NA,Democratic,William H. Sorrell,63
Chittenden,Bolton,NA,Attorney General,NA,Democratic,William H. Sorrell,452
Orange,Bradford,NA,Attorney General,NA,Democratic,William H. Sorrell,786
Orange,Braintree,NA,Attorney General,NA,Democratic,William H. Sorrell,409
Rutland,Brandon,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,363"
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Democratic,William H. Sorrell,"1,525"
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,234"
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Democratic,William H. Sorrell,"1,222"
Windsor,Bridgewater,NA,Attorney General,NA,Democratic,William H. Sorrell,286
Addison,Bridport,NA,Attorney General,NA,Democratic,William H. Sorrell,455
Essex,Brighton,NA,Attorney General,NA,Democratic,William H. Sorrell,368
Addison,Bristol,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,454"
Orange,Brookfield,NA,Attorney General,NA,Democratic,William H. Sorrell,496
Windham,Brookline,NA,Attorney General,NA,Democratic,William H. Sorrell,175
Orleans,Brownington,NA,Attorney General,NA,Democratic,William H. Sorrell,252
Essex,Brunswick,NA,Attorney General,NA,Democratic,William H. Sorrell,37
Caledonia,Burke,NA,Attorney General,NA,Democratic,William H. Sorrell,504
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Democratic,William H. Sorrell,"3,146"
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Democratic,William H. Sorrell,"1,676"
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Democratic,William H. Sorrell,"2,787"
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Democratic,William H. Sorrell,"2,561"
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Democratic,William H. Sorrell,"3,670"
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Democratic,William H. Sorrell,488
Washington,Cabot,NA,Attorney General,NA,Democratic,William H. Sorrell,493
Washington,Calais,NA,Attorney General,NA,Democratic,William H. Sorrell,717
Lamoille,Cambridge,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,247"
Essex,Canaan,NA,Attorney General,NA,Democratic,William H. Sorrell,270
Rutland,Castleton,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,139"
Windsor,Cavendish,NA,Attorney General,NA,Democratic,William H. Sorrell,422
Orleans,Charleston,NA,Attorney General,NA,Democratic,William H. Sorrell,294
Chittenden,Charlotte,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,780"
Orange,Chelsea,NA,Attorney General,NA,Democratic,William H. Sorrell,430
Windsor,Chester,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,085"
Rutland,Chittenden,NA,Attorney General,NA,Democratic,William H. Sorrell,447
Rutland,Clarendon,NA,Attorney General,NA,Democratic,William H. Sorrell,796
Chittenden,Colchester,Chittenden 7-1,Attorney General,NA,Democratic,William H. Sorrell,"2,692"
Chittenden,Colchester,Chittenden 7-2,Attorney General,NA,Democratic,William H. Sorrell,"3,104"
Essex,Concord,NA,Attorney General,NA,Democratic,William H. Sorrell,369
Orange,Corinth,NA,Attorney General,NA,Democratic,William H. Sorrell,404
Addison,Cornwall,NA,Attorney General,NA,Democratic,William H. Sorrell,546
Orleans,Coventry,NA,Attorney General,NA,Democratic,William H. Sorrell,324
Orleans,Craftsbury,NA,Attorney General,NA,Democratic,William H. Sorrell,484
Rutland,Danby,NA,Attorney General,NA,Democratic,William H. Sorrell,399
Caledonia,Danville,NA,Attorney General,NA,Democratic,William H. Sorrell,924
Orleans,Derby,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,565"
Bennington,Dorset,NA,Attorney General,NA,Democratic,William H. Sorrell,702
Windham,Dover,NA,Attorney General,NA,Democratic,William H. Sorrell,375
Windham,Dummerston,NA,Attorney General,NA,Democratic,William H. Sorrell,797
Washington,Duxbury,NA,Attorney General,NA,Democratic,William H. Sorrell,552
Essex,E. Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,83
Washington,E. Montpelier,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,239"
Lamoille,Eden,NA,Attorney General,NA,Democratic,William H. Sorrell,339
Lamoille,Elmore,NA,Attorney General,NA,Democratic,William H. Sorrell,371
Franklin,Enosburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,864
Chittenden,Essex,Chittenden 6-1,Attorney General,NA,Democratic,William H. Sorrell,"3,144"
Chittenden,Essex,Chittenden 6-2,Attorney General,NA,Democratic,William H. Sorrell,"3,553"
Chittenden,Essex,Chittenden 6-3,Attorney General,NA,Democratic,William H. Sorrell,"1,019"
Rutland,Fair Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,776
Franklin,Fairfax,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,532"
Franklin,Fairfield,NA,Attorney General,NA,Democratic,William H. Sorrell,743
Orange,Fairlee,NA,Attorney General,NA,Democratic,William H. Sorrell,348
Washington,Fayston,NA,Attorney General,NA,Democratic,William H. Sorrell,553
Addison,Ferrisburgh,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,090"
Franklin,Fletcher,NA,Attorney General,NA,Democratic,William H. Sorrell,442
Franklin,Franklin,NA,Attorney General,NA,Democratic,William H. Sorrell,412
Franklin,Georgia,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,585"
Orleans,Glover,NA,Attorney General,NA,Democratic,William H. Sorrell,384
Addison,Goshen,NA,Attorney General,NA,Democratic,William H. Sorrell,79
Windham,Grafton,NA,Attorney General,NA,Democratic,William H. Sorrell,214
Essex,Granby,NA,Attorney General,NA,Democratic,William H. Sorrell,23
Grand Isle,Grand Isle,NA,Attorney General,NA,Democratic,William H. Sorrell,882
Addison,Granville,NA,Attorney General,NA,Democratic,William H. Sorrell,123
Orleans,Greensboro,NA,Attorney General,NA,Democratic,William H. Sorrell,309
Caledonia,Groton,NA,Attorney General,NA,Democratic,William H. Sorrell,280
Essex,Guildhall,NA,Attorney General,NA,Democratic,William H. Sorrell,64
Windham,Guilford,NA,Attorney General,NA,Democratic,William H. Sorrell,752
Windham,Halifax,NA,Attorney General,NA,Democratic,William H. Sorrell,216
Addison,Hancock,NA,Attorney General,NA,Democratic,William H. Sorrell,129
Caledonia,Hardwick,NA,Attorney General,NA,Democratic,William H. Sorrell,992
Windsor,Hartford,Windsor 6-1,Attorney General,NA,Democratic,William H. Sorrell,697
Windsor,Hartford,Windsor 6-2,Attorney General,NA,Democratic,William H. Sorrell,"2,424"
Windsor,Hartland,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,182"
Franklin,Highgate,NA,Attorney General,NA,Democratic,William H. Sorrell,956
Chittenden,Hinesburg,Chittenden 1-1,Attorney General,NA,Democratic,William H. Sorrell,"1,757"
Chittenden,Hinesburg,Chittenden 1-2,Attorney General,NA,Democratic,William H. Sorrell,86
Orleans,Holland,NA,Attorney General,NA,Democratic,William H. Sorrell,208
Rutland,Hubbardton,NA,Attorney General,NA,Democratic,William H. Sorrell,217
Chittenden,Huntington,NA,Attorney General,NA,Democratic,William H. Sorrell,841
Lamoille,Hyde Park,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,052"
Rutland,Ira,Rutland Rutland 1-1,Attorney General,NA,Democratic,William H. Sorrell,27
Rutland,Ira,Rutland Rutland 1-2,Attorney General,NA,Democratic,William H. Sorrell,124
Orleans,Irasburg,NA,Attorney General,NA,Democratic,William H. Sorrell,365
Grand Isle,Isle La Motte,NA,Attorney General,NA,Democratic,William H. Sorrell,227
Windham,Jamaica,NA,Attorney General,NA,Democratic,William H. Sorrell,284
Orleans,Jay,NA,Attorney General,NA,Democratic,William H. Sorrell,135
Chittenden,Jericho,NA,Attorney General,NA,Democratic,William H. Sorrell,"2,297"
Lamoille,Johnson,NA,Attorney General,NA,Democratic,William H. Sorrell,938
Rutland,Killington,NA,Attorney General,NA,Democratic,William H. Sorrell,332
Caledonia,Kirby,NA,Attorney General,NA,Democratic,William H. Sorrell,164
Bennington,Landgrove,NA,Attorney General,NA,Democratic,William H. Sorrell,54
Addison,Leicester,NA,Attorney General,NA,Democratic,William H. Sorrell,360
Essex,Lemington,NA,Attorney General,NA,Democratic,William H. Sorrell,31
Addison,Lincoln,NA,Attorney General,NA,Democratic,William H. Sorrell,600
Windham,Londonderry,NA,Attorney General,NA,Democratic,William H. Sorrell,527
Orleans,Lowell,NA,Attorney General,NA,Democratic,William H. Sorrell,254
Windsor,Ludlow,NA,Attorney General,NA,Democratic,William H. Sorrell,724
Essex,Lunenburg,NA,Attorney General,NA,Democratic,William H. Sorrell,360
Caledonia,Lyndon,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,434"
Essex,Maidstone,NA,Attorney General,NA,Democratic,William H. Sorrell,51
Bennington,Manchester,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,320"
