county,town,precinct,office,district,party,candidate,votes
Addison,Addison,NA,Attorney General,NA,Republican,Karen Kerin,30
Orleans,Albany,NA,Attorney General,NA,Republican,Karen Kerin,25
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Karen Kerin,11
Windsor,Andover,NA,Attorney General,NA,Republican,Karen Kerin,9
Bennington,Arlington,NA,Attorney General,NA,Republican,Karen Kerin,38
Windham,Athens,NA,Attorney General,NA,Republican,Karen Kerin,4
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Karen Kerin,26
Windsor,Baltimore,NA,Attorney General,NA,Republican,Karen Kerin,6
Windsor,Barnard,NA,Attorney General,NA,Republican,Karen Kerin,12
Caledonia,Barnet,NA,Attorney General,NA,Republican,Karen Kerin,43
Washington,Barre City,Washington 3-1,Attorney General,NA,Republican,Karen Kerin,45
Washington,Barre City,Washington 3-2,Attorney General,NA,Republican,Karen Kerin,19
Washington,Barre City,Washington 3-3,Attorney General,NA,Republican,Karen Kerin,7
Washington,Barre Town,NA,Attorney General,NA,Republican,Karen Kerin,138
Orleans,Barton,NA,Attorney General,NA,Republican,Karen Kerin,44
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Karen Kerin,7
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Karen Kerin,25
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Karen Kerin,22
Bennington,Bennington,Bennington 5,Attorney General,NA,Republican,Karen Kerin,8
Rutland,Benson,NA,Attorney General,NA,Republican,Karen Kerin,12
Franklin,Berkshire,NA,Attorney General,NA,Republican,Karen Kerin,19
Washington,Berlin,NA,Attorney General,NA,Republican,Karen Kerin,13
Windsor,Bethel,NA,Attorney General,NA,Republican,Karen Kerin,19
Essex,Bloomfield,NA,Attorney General,NA,Republican,Karen Kerin,9
Chittenden,Bolton,NA,Attorney General,NA,Republican,Karen Kerin,13
Orange,Bradford,NA,Attorney General,NA,Republican,Karen Kerin,39
Orange,Braintree,NA,Attorney General,NA,Republican,Karen Kerin,29
Rutland,Brandon,NA,Attorney General,NA,Republican,Karen Kerin,73
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Republican,Karen Kerin,20
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Republican,Karen Kerin,12
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Republican,Karen Kerin,13
Windsor,Bridgewater,NA,Attorney General,NA,Republican,Karen Kerin,12
Addison,Bridport,NA,Attorney General,NA,Republican,Karen Kerin,33
Essex,Brighton,NA,Attorney General,NA,Republican,Karen Kerin,27
Addison,Bristol,NA,Attorney General,NA,Republican,Karen Kerin,37
Orange,Brookfield,NA,Attorney General,NA,Republican,Karen Kerin,23
Windham,Brookline,NA,Attorney General,NA,Republican,Karen Kerin,10
Orleans,Brownington,NA,Attorney General,NA,Republican,Karen Kerin,8
Essex,Brunswick,NA,Attorney General,NA,Republican,Karen Kerin,4
Caledonia,Burke,NA,Attorney General,NA,Republican,Karen Kerin,32
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Republican,Karen Kerin,107
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Republican,Karen Kerin,34
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Republican,Karen Kerin,27
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Republican,Karen Kerin,10
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Republican,Karen Kerin,39
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Republican,Karen Kerin,4
Washington,Cabot,NA,Attorney General,NA,Republican,Karen Kerin,10
Washington,Calais,NA,Attorney General,NA,Republican,Karen Kerin,12
Lamoille,Cambridge,NA,Attorney General,NA,Republican,Karen Kerin,22
Essex,Canaan,NA,Attorney General,NA,Republican,Karen Kerin,32
Rutland,Castleton,NA,Attorney General,NA,Republican,Karen Kerin,19
Windsor,Cavendish,NA,Attorney General,NA,Republican,Karen Kerin,10
Orleans,Charleston,NA,Attorney General,NA,Republican,Karen Kerin,12
Chittenden,Charlotte,NA,Attorney General,NA,Republican,Karen Kerin,10
Orange,Chelsea,NA,Attorney General,NA,Republican,Karen Kerin,14
Windsor,Chester,NA,Attorney General,NA,Republican,Karen Kerin,51
Rutland,Chittenden,NA,Attorney General,NA,Republican,Karen Kerin,14
Rutland,Clarendon,NA,Attorney General,NA,Republican,Karen Kerin,44
Chittenden,Colchester,Chittenden 7-1,Attorney General,NA,Republican,Karen Kerin,14
Chittenden,Colchester,Chittenden 7-2,Attorney General,NA,Republican,Karen Kerin,34
Essex,Concord,NA,Attorney General,NA,Republican,Karen Kerin,72
Orange,Corinth,NA,Attorney General,NA,Republican,Karen Kerin,24
Addison,Cornwall,NA,Attorney General,NA,Republican,Karen Kerin,14
Orleans,Coventry,NA,Attorney General,NA,Republican,Karen Kerin,38
Orleans,Craftsbury,NA,Attorney General,NA,Republican,Karen Kerin,14
Rutland,Danby,NA,Attorney General,NA,Republican,Karen Kerin,58
Caledonia,Danville,NA,Attorney General,NA,Republican,Karen Kerin,61
Orleans,Derby,NA,Attorney General,NA,Republican,Karen Kerin,42
Bennington,Dorset,NA,Attorney General,NA,Republican,Karen Kerin,47
Windham,Dover,NA,Attorney General,NA,Republican,Karen Kerin,23
Windham,Dummerston,NA,Attorney General,NA,Republican,Karen Kerin,28
Washington,Duxbury,NA,Attorney General,NA,Republican,Karen Kerin,16
Essex,E. Haven,NA,Attorney General,NA,Republican,Karen Kerin,11
Washington,E. Montpelier,NA,Attorney General,NA,Republican,Karen Kerin,30
Lamoille,Eden,NA,Attorney General,NA,Republican,Karen Kerin,3
Lamoille,Elmore,NA,Attorney General,NA,Republican,Karen Kerin,7
Franklin,Enosburgh,NA,Attorney General,NA,Republican,Karen Kerin,74
Chittenden,Essex,Chittenden 6-1,Attorney General,NA,Republican,Karen Kerin,31
Chittenden,Essex,Chittenden 6-2,Attorney General,NA,Republican,Karen Kerin,47
Chittenden,Essex,Chittenden 6-3,Attorney General,NA,Republican,Karen Kerin,6
Rutland,Fair Haven,NA,Attorney General,NA,Republican,Karen Kerin,24
Franklin,Fairfax,NA,Attorney General,NA,Republican,Karen Kerin,43
Franklin,Fairfield,NA,Attorney General,NA,Republican,Karen Kerin,10
Orange,Fairlee,NA,Attorney General,NA,Republican,Karen Kerin,28
Washington,Fayston,NA,Attorney General,NA,Republican,Karen Kerin,7
Addison,Ferrisburgh,NA,Attorney General,NA,Republican,Karen Kerin,21
Franklin,Fletcher,NA,Attorney General,NA,Republican,Karen Kerin,3
Franklin,Franklin,NA,Attorney General,NA,Republican,Karen Kerin,22
Franklin,Georgia,NA,Attorney General,NA,Republican,Karen Kerin,46
Orleans,Glover,NA,Attorney General,NA,Republican,Karen Kerin,25
Addison,Goshen,NA,Attorney General,NA,Republican,Karen Kerin,2
Windham,Grafton,NA,Attorney General,NA,Republican,Karen Kerin,10
Essex,Granby,NA,Attorney General,NA,Republican,Karen Kerin,11
Grand Isle,Grand Isle,NA,Attorney General,NA,Republican,Karen Kerin,25
Addison,Granville,NA,Attorney General,NA,Republican,Karen Kerin,3
Orleans,Greensboro,NA,Attorney General,NA,Republican,Karen Kerin,7
Caledonia,Groton,NA,Attorney General,NA,Republican,Karen Kerin,33
Essex,Guildhall,NA,Attorney General,NA,Republican,Karen Kerin,21
Windham,Guilford,NA,Attorney General,NA,Republican,Karen Kerin,11
Windham,Halifax,NA,Attorney General,NA,Republican,Karen Kerin,8
Addison,Hancock,NA,Attorney General,NA,Republican,Karen Kerin,3
Caledonia,Hardwick,NA,Attorney General,NA,Republican,Karen Kerin,19
Windsor,Hartford,Windsor 6-1,Attorney General,NA,Republican,Karen Kerin,12
Windsor,Hartford,Windsor 6-2,Attorney General,NA,Republican,Karen Kerin,48
Windsor,Hartland,NA,Attorney General,NA,Republican,Karen Kerin,38
Franklin,Highgate,NA,Attorney General,NA,Republican,Karen Kerin,40
Chittenden,Hinesburg,Chittenden 1-1,Attorney General,NA,Republican,Karen Kerin,25
Chittenden,Hinesburg,Chittenden 1-2,Attorney General,NA,Republican,Karen Kerin,1
Orleans,Holland,NA,Attorney General,NA,Republican,Karen Kerin,13
Rutland,Hubbardton,NA,Attorney General,NA,Republican,Karen Kerin,12
Chittenden,Huntington,NA,Attorney General,NA,Republican,Karen Kerin,22
Lamoille,Hyde Park,NA,Attorney General,NA,Republican,Karen Kerin,14
Rutland,Ira,Rutland Rutland 1-1,Attorney General,NA,Republican,Karen Kerin,0
