county,town,precinct,office,district,party,candidate,votes
Rutland,Ira,NA,President,NA,Republican,John McCain,16
Orleans,Irasburg,NA,President,NA,Republican,John McCain,37
Grand Isle,Isle La Motte,NA,President,NA,Republican,John McCain,39
Windham,Jamaica,NA,President,NA,Republican,John McCain,31
Orleans,Jay,NA,President,NA,Republican,John McCain,18
Chittenden,Jericho,NA,President,NA,Republican,John McCain,246
Lamoille,Johnson,NA,President,NA,Republican,John McCain,77
Rutland,Killington,NA,President,NA,Republican,John McCain,58
Caledonia,Kirby,NA,President,NA,Republican,John McCain,18
Bennington,Landgrove,NA,President,NA,Republican,John McCain,9
Addison,Leicester,NA,President,NA,Republican,John McCain,77
Essex,Lemington,NA,President,NA,Republican,John McCain,7
Addison,Lincoln,NA,President,NA,Republican,John McCain,77
Windham,Londonderry,NA,President,NA,Republican,John McCain,71
Orleans,Lowell,NA,President,NA,Republican,John McCain,25
Windsor,Ludlow,NA,President,NA,Republican,John McCain,134
Essex,Lunenburg,NA,President,NA,Republican,John McCain,97
Caledonia,Lyndon,NA,President,NA,Republican,John McCain,207
Essex,Maidstone,NA,President,NA,Republican,John McCain,18
Bennington,Manchester,NA,President,NA,Republican,John McCain,248
Windham,Marlboro,NA,President,NA,Republican,John McCain,27
Washington,Marshfield,NA,President,NA,Republican,John McCain,58
Rutland,Mendon,NA,President,NA,Republican,John McCain,71
Addison,Middlebury,NA,President,NA,Republican,John McCain,241
Washington,Middlesex,NA,President,NA,Republican,John McCain,81
Rutland,Middletown Springs,NA,President,NA,Republican,John McCain,63
Chittenden,Milton,NA,President,NA,Republican,John McCain,585
Addison,Monkton,NA,President,NA,Republican,John McCain,102
Franklin,Montgomery,NA,President,NA,Republican,John McCain,22
Washington,Montpelier,NA,President,NA,Republican,John McCain,285
Washington,Moretown,NA,President,NA,Republican,John McCain,123
Orleans,Morgan,NA,President,NA,Republican,John McCain,48
Lamoille,Morristown,NA,President,NA,Republican,John McCain,196
Rutland,Mount Holly,NA,President,NA,Republican,John McCain,71
Rutland,Mount Tabor,NA,President,NA,Republican,John McCain,15
Addison,New Haven,NA,President,NA,Republican,John McCain,120
Caledonia,Newark,NA,President,NA,Republican,John McCain,26
Orange,Newbury,NA,President,NA,Republican,John McCain,79
Windham,Newfane,NA,President,NA,Republican,John McCain,57
Orleans,Newport City,NA,President,NA,Republican,John McCain,199
Orleans,Newport Town,NA,President,NA,Republican,John McCain,52
Grand Isle,N. Hero,NA,President,NA,Republican,John McCain,76
Washington,Northfield,NA,President,NA,Republican,John McCain,280
Essex,Norton,NA,President,NA,Republican,John McCain,16
Windsor,Norwich,NA,President,NA,Republican,John McCain,107
Orange,Orange,NA,President,NA,Republican,John McCain,62
Addison,Orwell,NA,President,NA,Republican,John McCain,86
Addison,Panton,NA,President,NA,Republican,John McCain,40
Rutland,Pawlet,NA,President,NA,Republican,John McCain,110
Caledonia,Peacham,NA,President,NA,Republican,John McCain,24
Bennington,Peru,NA,President,NA,Republican,John McCain,22
Rutland,Pittsfield,NA,President,NA,Republican,John McCain,32
